area,prov,dist,area_name,nHhld,total,male,female,avg_hhsize,sex_ratio,growth_rate,pop_density
10,0,0,Nepal,6666937,29164578,14253551,14911027,4.37,95.59,0.92,198.15
21,0,0,Urban Munipalities,4479662,19296788,9454545,9842243,4.31,96.06,1.36,Ð
22,0,0,Rural Municipalities,2187275,9867790,4799006,5068784,4.51,94.68,0.11,Ð
31,0,0,Mountain,409799,1772948,874260,898688,4.33,97.28,-0.05,34.22
32,0,0,Hill,2949056,11757624,5717247,6040377,3.99,94.65,0.3,191.66
33,0,0,Tarai,3308082,15634006,7662044,7971962,4.73,96.11,1.54,459.57
40,1,0,Province-1,1191556,4961412,2417328,2544084,4.16,95.02,0.86,191.52
40,2,0,Madhesh,1156715,6114600,3065751,3048849,5.29,100.55,1.19,632.92
40,3,0,Bagmati,1570927,6116866,3048684,3068182,3.89,99.36,0.97,301.32
40,4,0,Gandaki,662480,2466427,1170833,1295594,3.72,90.37,0.25,114.70
40,5,0,Lumbini,1141902,5122078,2454408,2667670,4.49,92.01,1.24,229.81
40,6,0,Karnali,366255,1688412,823761,864651,4.61,95.27,0.7,60.33
40,7,0,Sudur Paschim,577102,2694783,1272786,1421997,4.67,89.51,0.52,138.00
50,1,1,Taplejung,27798,120590,60773,59817,4.34,101.60,-0.53,33.07
50,1,2,Sankhuwasabha,39173,158041,79579,78462,4.03,101.42,-0.04,45.41
50,1,3,Solukhumbu,26319,104851,52747,52104,3.98,101.23,-0.09,31.66
50,1,4,Okhaldhunga,34294,139552,68080,71472,4.07,95.25,-0.56,129.94
50,1,5,Khotang,41750,175298,86637,88661,4.2,97.72,-1.56,110.18
50,1,6,Bhojpur,38631,157923,78211,79712,4.09,98.12,-1.39,104.79
50,1,7,Dhankuta,37648,150599,73824,76775,4,96.16,-0.78,169.02
50,1,8,Terhathum,21857,88731,43581,45150,4.06,96.52,-1.3,130.68
50,1,9,Panchthar,42495,172400,85683,86717,4.06,98.81,-1.02,138.92
50,1,10,Ilam,70532,279534,139431,140103,3.96,99.52,-0.36,164.14
50,1,11,Jhapa,245142,998054,478509,519545,4.07,92.10,1.97,621.45
50,1,12,Morang,272283,1148156,557512,590644,4.22,94.39,1.66,618.95
50,1,13,Sunsari,212545,926962,449023,477939,4.36,93.95,1.86,737.44
50,1,14,Udayapur,81089,340721,163738,176983,4.2,92.52,0.68,165.16
50,2,15,Saptari,146854,706255,351368,354887,4.81,99.01,0.96,518.16
50,2,16,Siraha,148571,739953,363724,376229,4.98,96.68,1.43,622.86
50,2,17,Dhanusa,177143,867747,429893,437854,4.9,98.18,1.34,735.38
50,2,18,Mahottari,137902,706994,349159,357835,5.13,97.58,1.14,705.58
50,2,19,Sarlahi,164893,862470,435131,427339,5.23,101.82,1.09,685.04
50,2,20,Rautahat,137032,813573,408403,405170,5.94,100.80,1.63,722.53
50,2,21,Bara,131240,763137,389787,373350,5.81,104.40,1,641.29
50,2,22,Parsa,113080,654471,338286,316185,5.79,106.99,0.82,483.72
50,3,23,Dolakha,49538,172767,83720,89047,3.49,94.02,-0.74,78.85
