area,prov,dist,area_name,rowtotal,a_1person,b_2person,c_3person,d_4person,e_5person,f_6person,g_7person,h_8person,i_9person
10,0,0,"Nepal",6666937,357315,886221,1235800,1521930,1107218,695484,371929,220066,270974
21,0,0,"Urban Munipalities",4479662,237911,599935,880380,1063048,725969,440568,228115,133254,170482
22,0,0,"Rural Municipalities",2187275,119404,286286,355420,458882,381249,254916,143814,86812,100492
31,0,0,"Mountain",409799,31749,57577,65300,83567,69088,46326,26773,15831,13588
32,0,0,"Hill",2949056,208093,468033,616129,691621,444814,259554,126856,70282,63674
33,0,0,"Tarai",3308082,117473,360611,554371,746742,593316,389604,218300,133953,193712
40,1,0,"Province-1",1191556,59266,159954,244893,292750,201055,118188,57139,29830,28481
40,2,0,"Madhesh",1156715,30523,97458,132758,225145,230203,167792,103677,66921,102238
40,3,0,"Bagmati",1570927,114850,257397,346237,387979,223729,122489,55720,30091,32435
40,4,0,"Gandaki",662480,53753,126011,149194,151799,91242,48677,21193,11004,9607
40,5,0,"Lumbini",1141902,53541,147280,215585,260220,187116,117367,64212,39338,57243
40,6,0,"Karnali",366255,16312,38911,56938,80832,68631,47487,27395,16461,13288
40,7,0,"Sudur Paschim",577102,29070,59210,90195,123205,105242,73484,42593,26421,27682
50,1,1,"Taplejung",27798,1757,3323,4895,6187,4999,3133,1729,990,785
50,1,2,"Sankhuwasabha",39173,2886,5895,7784,9140,6396,3707,1830,915,620
50,1,3,"Solukhumbu",26319,2182,3948,5178,5996,4302,2428,1249,614,422
50,1,4,"Okhaldhunga",34294,2660,5655,6064,7285,5584,3493,1731,1007,815
50,1,5,"Khotang",41750,3150,6120,7267,8575,6948,4651,2590,1414,1035
50,1,6,"Bhojpur",38631,3031,5487,7176,8422,6488,4123,2130,1029,745
50,1,7,"Dhankuta",37648,2629,5704,7865,8781,5858,3567,1743,864,637
50,1,8,"Terhathum",21857,1354,3172,4344,5142,3602,2296,1053,534,360
50,1,9,"Panchthar",42495,2662,6088,8791,9908,6988,4162,2062,1067,767
50,1,10,"Ilam",70532,3502,10088,16594,17733,11222,6205,2809,1402,977
