sex,agegrp,sexname,agegrpname,total,urban,rural,mountain,hill,tarai,province1,madhesh,bagmati,gandaki,lumbini,karnali,sudurpaschim
0,-1,"Both Sexes","All Ages",29164578,19296788,9867790,1772948,11757624,15634006,4961412,6114600,6116866,2466427,5122078,1688412,2694783
0,0,"Both Sexes","0 Year",411159,257022,154137,28008,153949,229202,64154,96939,67775,27965,76449,31481,46396
0,1,"Both Sexes","1 Year",450469,287761,162708,26758,167386,256325,72463,112116,78205,31710,82512,30225,43238
0,2,"Both Sexes","2 Year",510855,324976,185879,31576,178876,300403,77833,142003,82128,34861,90640,34887,48503
0,3,"Both Sexes","3 Year",531295,336793,194502,33282,184349,313664,82219,149486,82732,36394,95488,35841,49135
0,4,"Both Sexes","4 Year",535505,340549,194956,34870,193430,307205,86303,140578,87638,38000,94752,36367,51867
0,5,"Both Sexes","5 Year",568365,362634,205731,35441,196610,336314,89653,158775,90314,39240,101218,35837,53328
0,6,"Both Sexes","6 Year",562745,361182,201563,36224,203295,323226,90344,147062,93976,40989,100339,35992,54043
0,7,"Both Sexes","7 Year",534278,344144,190134,33660,195526,305092,90648,132108,88375,39711,96846,34549,52041
0,8,"Both Sexes","8 Year",599728,383572,216156,37899,207757,354072,94981,163321,92928,41502,108409,38961,59626
0,9,"Both Sexes","9 Year",501311,322545,178766,34687,200525,266099,85720,102199,92104,40581,91126,36379,53202
0,10,"Both Sexes","10 Year",646772,412115,234657,41129,221108,384535,96503,184973,100817,43056,113353,41710,66360
0,11,"Both Sexes","11 Year",475016,305311,169705,32850,195537,246629,79626,92282,88688,40085,85987,34893,53455
0,12,"Both Sexes","12 Year",638817,403600,235217,44298,231968,362551,95323,164093,103388,44685,114005,45216,72107
0,13,"Both Sexes","13 Year",556890,354174,202716,40314,223682,292894,90277,113751,100576,44173,101612,42277,64224
0,14,"Both Sexes","14 Year",592370,376839,215531,41610,233703,317057,93329,128556,104070,45816,108121,44276,68202
0,15,"Both Sexes","15 Year",607128,387403,219725,41029,238993,327106,96925,132612,108842,47224,111425,42939,67161
0,16,"Both Sexes","16 Year",608979,393255,215724,39319,235403,334257,95589,138389,112802,46026,111255,41747,63171
0,17,"Both Sexes","17 Year",537901,355930,181971,31942,224112,281847,92149,102618,111527,45821,99475,33471,52840
0,18,"Both Sexes","18 Year",708386,465224,243162,44942,267695,395749,109527,169086,136251,52362,126486,46133,68541
0,19,"Both Sexes","19 Year",504010,339145,164865,29964,218032,256014,87690,86011,114548,44812,92259,32454,46236
0,20,"Both Sexes","20 Year",704630,471169,233461,40168,259044,405418,106400,181753,137382,49490,122578,41116,65911
0,21,"Both Sexes","21 Year",487099,329655,157444,29338,213967,243794,84475,78927,112749,44176,88664,32504,45604
0,22,"Both Sexes","22 Year",596573,401066,195507,34063,233893,328617,94912,131998,125670,45508,106084,36620,55781
0,23,"Both Sexes","23 Year",490146,333021,157125,28790,211594,249762,81853,84549,115264,42925,89080,30771,45704
0,24,"Both Sexes","24 Year",504612,343496,161116,30126,213784,260702,83594,90910,119144,42771,90240,30250,47703
0,25,"Both Sexes","25 Year",621333,419398,201935,32096,224545,364692,98386,162246,126585,44342,106873,31542,51359
0,26,"Both Sexes","26 Year",499807,341305,158502,28928,210821,260058,83984,89220,118770,42241,91268,28641,45683
0,27,"Both Sexes","27 Year",410888,284064,126824,23318,178386,209184,73448,67352,101574,36907,73805,22406,35396
0,28,"Both Sexes","28 Year",571114,388104,183010,32465,229211,309438,93104,120091,130419,44379,102478,30862,49781
0,29,"Both Sexes","29 Year",356207,250456,105751,19985,167601,168621,65524,42073,94645,37140,66061,19881,30883
0,30,"Both Sexes","30 Year",645215,440110,205105,33070,221060,391085,94881,181661,128102,43565,110836,30609,55561
0,31,"Both Sexes","31 Year",307222,218013,89209,17459,148031,141732,57407,33071,86170,32085,56094,16538,25857
0,32,"Both Sexes","32 Year",452204,313765,138439,24189,185632,242383,75975,86703,106822,37418,82226,23344,39716
0,33,"Both Sexes","33 Year",391194,273538,117656,22794,179536,188864,75732,53247,102468,36401,68849,21302,33195
0,34,"Both Sexes","34 Year",351877,247674,104203,19451,160130,172296,64655,47552,92973,34153,63935,18836,29773
0,35,"Both Sexes","35 Year",618195,422942,195253,30542,201109,386544,94174,183544,116780,40025,102950,27985,52737
0,36,"Both Sexes","36 Year",385964,271342,114622,21812,168985,195167,68905,61628,99012,34859,68079,20356,33125
0,37,"Both Sexes","37 Year",300741,212606,88135,16497,137334,146910,58649,40104,80749,29960,52999,14819,23461
0,38,"Both Sexes","38 Year",448956,309392,139564,24557,181476,242923,75620,87797,104401,36456,81051,23398,40233
0,39,"Both Sexes","39 Year",287636,203162,84474,15349,135727,136560,57853,32589,78859,30035,52014,13932,22354
0,40,"Both Sexes","40 Year",621284,421699,199585,32692,209186,379406,92961,178229,121923,40921,102414,29439,55397
0,41,"Both Sexes","41 Year",235550,166687,68863,13281,113197,109072,47399,24203,67196,25122,41606,11607,18417
0,42,"Both Sexes","42 Year",363738,253821,109917,19336,155145,189257,66941,60997,91542,32369,64210,18004,29675
0,43,"Both Sexes","43 Year",288324,199607,88717,16808,135024,136492,56458,35477,76941,28974,50413,15548,24513
0,44,"Both Sexes","44 Year",238936,168019,70917,13378,114463,111095,50010,26751,66213,25047,40325,11541,19049
0,45,"Both Sexes","45 Year",465773,313372,152401,24283,152898,288592,70714,136847,87509,31538,75526,21947,41692
0,46,"Both Sexes","46 Year",260568,179340,81228,15418,123658,121492,51083,32915,68807,26856,44677,14455,21775
0,47,"Both Sexes","47 Year",195764,135208,60556,11485,95108,89171,39215,24001,54170,21017,32983,9778,14600
0,48,"Both Sexes","48 Year",308757,206033,102724,19555,133352,155850,54486,56492,74682,27557,51951,16570,27019
0,49,"Both Sexes","49 Year",205177,140473,64704,12117,101124,91936,42718,22701,56647,23025,34564,10305,15217
0,50,"Both Sexes","50 Year",499602,330152,169450,28606,181006,289990,78828,133429,100017,36646,79065,25167,46450
0,51,"Both Sexes","51 Year",202967,136708,66259,12266,99363,91338,42789,21800,54114,23185,35049,9867,16163
0,52,"Both Sexes","52 Year",270951,180292,90659,16468,122586,131897,52687,41963,67073,26843,46053,13394,22938
0,53,"Both Sexes","53 Year",231221,152259,78962,14973,111385,104863,47898,28158,59779,25105,40201,11390,18690
0,54,"Both Sexes","54 Year",209110,138649,70461,13066,101915,94129,43446,24704,55433,23286,35999,9888,16354
0,55,"Both Sexes","55 Year",336733,219264,117469,18726,116139,201868,54005,95413,62471,25386,54757,15335,29366
0,56,"Both Sexes","56 Year",212738,138990,73748,13986,100633,98119,44522,28552,52757,23260,35585,10671,17391
0,57,"Both Sexes","57 Year",154189,100716,53473,10016,75143,69030,32653,18917,38706,18364,26034,7702,11813
0,58,"Both Sexes","58 Year",221728,142056,79672,15104,101668,104956,42289,35338,51219,23571,37755,12224,19332
0,59,"Both Sexes","59 Year",150556,97306,53250,10530,77863,62163,33059,14633,39596,19399,25229,7751,10889
0,60,"Both Sexes","60 Year",359659,230481,129178,22191,132881,204587,57908,96571,69265,29846,57286,17042,31741
0,61,"Both Sexes","61 Year",136482,87877,48605,9698,69257,57527,30296,14209,34341,17970,22583,7199,9884
0,62,"Both Sexes","62 Year",178068,113679,64389,12247,81262,84559,36772,27843,40019,19511,30519,9194,14210
0,63,"Both Sexes","63 Year",150089,95640,54449,10790,72348,66951,31121,19546,35894,18263,25306,7845,12114
0,64,"Both Sexes","64 Year",131306,83542,47764,8757,65901,56648,27496,15314,32579,16600,22665,6707,9945
0,65,"Both Sexes","65 Year",246944,157363,89581,14129,83332,149483,38670,73826,42535,20046,40417,10665,20785
0,66,"Both Sexes","66 Year",133073,84791,48282,8970,64287,59816,28269,17752,31087,16566,22871,6354,10174
0,67,"Both Sexes","67 Year",116934,73735,43199,7482,58918,50534,23846,14140,29210,15490,20226,5246,8776
0,68,"Both Sexes","68 Year",158096,99225,58871,10595,65910,81591,29194,31608,32154,16437,27040,7373,14290
0,69,"Both Sexes","69 Year",116571,72721,43850,7729,52128,56714,24091,18314,25880,13501,20366,5142,9277
0,70,"Both Sexes","70 Year",220685,139439,81246,13774,72701,134210,32421,66015,35223,17816,36376,10433,22401
0,71,"Both Sexes","71 Year",101019,63715,37304,6832,47867,46320,20409,14589,22687,12145,17467,4983,8739
0,72,"Both Sexes","72 Year",121570,74880,46690,7779,51419,62372,21043,25460,24389,13209,20860,5455,11154
0,73,"Both Sexes","73 Year",89967,55829,34138,6482,42166,41319,17821,13493,19714,10977,14745,4419,8798
0,74,"Both Sexes","74 Year",76129,47670,28459,5486,36466,34177,15534,9835,17918,9478,13018,3480,6866
0,75,"Both Sexes","75 Year",120603,75358,45245,7138,42074,71391,18269,35332,21166,10440,19205,4317,11874
0,76,"Both Sexes","76 Year",71787,45616,26171,5135,36194,30458,13251,8989,18970,9011,11336,3309,6921
0,77,"Both Sexes","77 Year",69471,43470,26001,5002,38295,26174,15176,5802,19455,9645,10952,2991,5450
0,78,"Both Sexes","78 Year",61504,38665,22839,4268,29533,27703,10558,9470,14369,7726,10434,2774,6173
0,79,"Both Sexes","79 Year",29838,18922,10916,2139,16426,11273,7252,2054,8385,4571,4499,1062,2015
0,80,"Both Sexes","80 Year",62234,38849,23385,4100,24591,33543,9824,14868,12950,6369,9786,2067,6370
0,81,"Both Sexes","81 Year",24549,15782,8767,1736,13989,8824,5712,1548,6988,4082,3740,815,1664
0,82,"Both Sexes","82 Year",28369,18234,10135,2033,15766,10570,5983,2364,8300,4435,4317,874,2096
0,83,"Both Sexes","83 Year",24653,15714,8939,1856,14354,8443,5648,1448,7137,4348,3419,802,1851
0,84,"Both Sexes","84 Year",21751,14197,7554,1747,12390,7614,4772,1225,7081,3553,2895,692,1533
