area,prov,dist,agegrp,area_name,agegrpname,rowtotal,a_male,b_female
10,0,0,0,"Nepal","All Ages",29164578,14253551,14911027
10,0,0,1,"Nepal","00-04 Yrs.",2439283,1290525,1148758
10,0,0,2,"Nepal","05-09 Yrs.",2766427,1443405,1323022
10,0,0,3,"Nepal","10-14 Yrs.",2909865,1495954,1413911
10,0,0,4,"Nepal","15-19 Yrs.",2966404,1494523,1471881
10,0,0,5,"Nepal","20-24 Yrs.",2783060,1301019,1482041
10,0,0,6,"Nepal","25-29 Yrs.",2459349,1122242,1337107
10,0,0,7,"Nepal","30-34 Yrs.",2147712,978976,1168736
10,0,0,8,"Nepal","35-39 Yrs.",2041492,936931,1104561
10,0,0,9,"Nepal","40-44 Yrs.",1747832,828493,919339
10,0,0,10,"Nepal","45-49 Yrs.",1436039,687524,748515
10,0,0,11,"Nepal","50-54 Yrs.",1413851,692494,721357
10,0,0,12,"Nepal","55-59 Yrs.",1075944,537558,538386
10,0,0,13,"Nepal","60-64 Yrs.",955604,465962,489642
10,0,0,14,"Nepal","65-69 Yrs.",771618,379689,391929
10,0,0,15,"Nepal","70-74 Yrs.",609370,292054,317316
10,0,0,16,"Nepal","75-79 Yrs.",353203,170998,182205
10,0,0,17,"Nepal","80-84 Yrs.",161556,78315,83241
10,0,0,18,"Nepal","85-89 Yrs.",76427,36167,40260
10,0,0,19,"Nepal","90-94 Yrs.",30406,13191,17215
10,0,0,20,"Nepal","95+ Yrs.",19136,7531,11605
21,0,0,0,"Urban Munipalities","All Ages",19296788,9454545,9842243
21,0,0,1,"Urban Munipalities","00-04 Yrs.",1547101,824323,722778
21,0,0,2,"Urban Munipalities","05-09 Yrs.",1774077,934436,839641
21,0,0,3,"Urban Munipalities","10-14 Yrs.",1852039,960918,891121
21,0,0,4,"Urban Munipalities","15-19 Yrs.",1940957,987059,953898
21,0,0,5,"Urban Munipalities","20-24 Yrs.",1878407,882667,995740
21,0,0,6,"Urban Munipalities","25-29 Yrs.",1683327,762951,920376
21,0,0,7,"Urban Munipalities","30-34 Yrs.",1493100,677051,816049
21,0,0,8,"Urban Munipalities","35-39 Yrs.",1419444,652295,767149
21,0,0,9,"Urban Munipalities","40-44 Yrs.",1209833,577363,632470
21,0,0,10,"Urban Munipalities","45-49 Yrs.",974426,471192,503234
21,0,0,11,"Urban Munipalities","50-54 Yrs.",938060,463564,474496
21,0,0,12,"Urban Munipalities","55-59 Yrs.",698332,349650,348682
21,0,0,13,"Urban Munipalities","60-64 Yrs.",611219,297728,313491
21,0,0,14,"Urban Munipalities","65-69 Yrs.",487835,239026,248809
21,0,0,15,"Urban Munipalities","70-74 Yrs.",381533,182222,199311
21,0,0,16,"Urban Munipalities","75-79 Yrs.",222031,106283,115748
21,0,0,17,"Urban Munipalities","80-84 Yrs.",102776,49194,53582
21,0,0,18,"Urban Munipalities","85-89 Yrs.",50178,23376,26802
21,0,0,19,"Urban Munipalities","90-94 Yrs.",19883,8547,11336
21,0,0,20,"Urban Munipalities","95+ Yrs.",12230,4700,7530
22,0,0,0,"Rural Municipalities","All Ages",9867790,4799006,5068784
22,0,0,1,"Rural Municipalities","00-04 Yrs.",892182,466202,425980
22,0,0,2,"Rural Municipalities","05-09 Yrs.",992350,508969,483381
22,0,0,3,"Rural Municipalities","10-14 Yrs.",1057826,535036,522790
22,0,0,4,"Rural Municipalities","15-19 Yrs.",1025447,507464,517983
22,0,0,5,"Rural Municipalities","20-24 Yrs.",904653,418352,486301
22,0,0,6,"Rural Municipalities","25-29 Yrs.",776022,359291,416731
22,0,0,7,"Rural Municipalities","30-34 Yrs.",654612,301925,352687
22,0,0,8,"Rural Municipalities","35-39 Yrs.",622048,284636,337412
22,0,0,9,"Rural Municipalities","40-44 Yrs.",537999,251130,286869
22,0,0,10,"Rural Municipalities","45-49 Yrs.",461613,216332,245281
22,0,0,11,"Rural Municipalities","50-54 Yrs.",475791,228930,246861
22,0,0,12,"Rural Municipalities","55-59 Yrs.",377612,187908,189704
