area,prov,dist,sex,area_name,sexname,rowtotal,a_below14,b_15to19,c_20to29,d_30to39,e_40t049,f_50to59,g_60to69,h_70plus
10,0,0,0,"Nepal","Both Sexes",6666937,7332,67974,819280,1551679,1513739,1283014,884426,539493
10,0,0,1,"Nepal","Male",4563659,3818,35818,435835,943229,1080779,996966,676774,390440
10,0,0,2,"Nepal","Female",2103278,3514,32156,383445,608450,432960,286048,207652,149053
21,0,0,0,"Urban Munipalities","Both Sexes",4479662,5057,52982,575463,1072316,1036393,843687,560723,333041
21,0,0,1,"Urban Munipalities","Male",3008688,2663,28138,296188,632677,731069,650819,426529,240605
21,0,0,2,"Urban Munipalities","Female",1470974,2394,24844,279275,439639,305324,192868,134194,92436
22,0,0,0,"Rural Municipalities","Both Sexes",2187275,2275,14992,243817,479363,477346,439327,323703,206452
22,0,0,1,"Rural Municipalities","Male",1554971,1155,7680,139647,310552,349710,346147,250245,149835
22,0,0,2,"Rural Municipalities","Female",632304,1120,7312,104170,168811,127636,93180,73458,56617
31,0,0,0,"Mountain","Both Sexes",409799,739,4402,51200,88409,85362,80369,59966,39352
31,0,0,1,"Mountain","Male",297942,400,2328,33572,63130,64500,62602,44797,26613
31,0,0,2,"Mountain","Female",111857,339,2074,17628,25279,20862,17767,15169,12739
32,0,0,0,"Hill","Both Sexes",2949056,3236,35501,396674,659633,633615,564195,399395,256807
32,0,0,1,"Hill","Male",1929541,1548,18090,204402,387022,430716,420338,292003,175422
32,0,0,2,"Hill","Female",1019515,1688,17411,192272,272611,202899,143857,107392,81385
33,0,0,0,"Tarai","Both Sexes",3308082,3357,28071,371406,803637,794762,638450,425065,243334
33,0,0,1,"Tarai","Male",2336176,1870,15400,197861,493077,585563,514026,339974,188405
33,0,0,2,"Tarai","Female",971906,1487,12671,173545,310560,209199,124424,85091,54929
40,1,0,0,"Province-1","Both Sexes",1191556,724,8243,126413,268921,274009,245170,169350,98726
40,1,0,1,"Province-1","Male",823722,349,4190,68049,164499,196356,189070,129135,72074
40,1,0,2,"Province-1","Female",367834,375,4053,58364,104422,77653,56100,40215,26652
40,2,0,0,"Madhesh","Both Sexes",1156715,986,7245,123757,274083,279269,225932,156614,88829
40,2,0,1,"Madhesh","Male",905457,734,4991,76899,190697,226145,197150,135020,73821
40,2,0,2,"Madhesh","Female",251258,252,2254,46858,83386,53124,28782,21594,15008
40,3,0,0,"Bagmati","Both Sexes",1570927,1162,19171,217707,358362,352130,299151,198218,125026
40,3,0,1,"Bagmati","Male",1082664,598,10874,124489,228077,253577,229839,148439,86771
40,3,0,2,"Bagmati","Female",488263,564,8297,93218,130285,98553,69312,49779,38255
40,4,0,0,"Gandaki","Both Sexes",662480,477,6303,74720,141853,138863,127662,100900,71702
40,4,0,1,"Gandaki","Male",390974,231,2796,29580,66673,83406,89929,70483,47876
40,4,0,2,"Gandaki","Female",271506,246,3507,45140,75180,55457,37733,30417,23826
40,5,0,0,"Lumbini","Both Sexes",1141902,1336,11821,138567,278731,260548,214198,148417,88284
40,5,0,1,"Lumbini","Male",736298,642,5544,63495,153568,175900,161215,111426,64508
40,5,0,2,"Lumbini","Female",405604,694,6277,75072,125163,84648,52983,36991,23776
40,6,0,0,"Karnali","Both Sexes",366255,1059,6326,63319,90840,78299,63584,41323,21505
40,6,0,1,"Karnali","Male",248783,517,3043,35887,57716,55978,49336,31255,15051
40,6,0,2,"Karnali","Female",117472,542,3283,27432,33124,22321,14248,10068,6454
40,7,0,0,"Sudur Paschim","Both Sexes",577102,1588,8865,74797,138889,130621,107317,69604,45421
40,7,0,1,"Sudur Paschim","Male",375761,747,4380,37436,81999,89417,80427,51016,30339
40,7,0,2,"Sudur Paschim","Female",201341,841,4485,37361,56890,41204,26890,18588,15082
50,1,1,0,"Taplejung","Both Sexes",27798,17,233,3416,5597,5527,5953,4388,2667
50,1,1,1,"Taplejung","Male",21041,7,109,2267,4160,4330,4811,3403,1954
50,1,1,2,"Taplejung","Female",6757,10,124,1149,1437,1197,1142,985,713
50,1,2,0,"Sankhuwasabha","Both Sexes",39173,68,400,4854,8557,7944,7570,6118,3662
50,1,2,1,"Sankhuwasabha","Male",27947,27,191,2890,5871,6020,5848,4557,2543
50,1,2,2,"Sankhuwasabha","Female",11226,41,209,1964,2686,1924,1722,1561,1119
50,1,3,0,"Solukhumbu","Both Sexes",26319,26,235,3273,5573,5082,5356,4013,2761
50,1,3,1,"Solukhumbu","Male",18931,12,108,2181,4053,3791,4015,2955,1816
50,1,3,2,"Solukhumbu","Female",7388,14,127,1092,1520,1291,1341,1058,945
50,1,4,0,"Okhaldhunga","Both Sexes",34294,18,120,2968,6099,6614,7749,6010,4716
50,1,4,1,"Okhaldhunga","Male",25250,10,57,1930,4331,5007,6151,4520,3244
50,1,4,2,"Okhaldhunga","Female",9044,8,63,1038,1768,1607,1598,1490,1472
50,1,5,0,"Khotang","Both Sexes",41750,43,370,4414,7674,7810,9344,7048,5047
50,1,5,1,"Khotang","Male",30225,19,179,2677,5326,5846,7175,5372,3631
50,1,5,2,"Khotang","Female",11525,24,191,1737,2348,1964,2169,1676,1416
50,1,6,0,"Bhojpur","Both Sexes",38631,18,211,3623,7032,7549,8686,6767,4745
50,1,6,1,"Bhojpur","Male",28462,10,128,2316,5045,5910,6743,5031,3279
50,1,6,2,"Bhojpur","Female",10169,8,83,1307,1987,1639,1943,1736,1466
50,1,7,0,"Dhankuta","Both Sexes",37648,17,342,3693,7696,8252,8334,5938,3376
50,1,7,1,"Dhankuta","Male",26431,8,185,2099,4855,5864,6394,4546,2480
50,1,7,2,"Dhankuta","Female",11217,9,157,1594,2841,2388,1940,1392,896
50,1,8,0,"Terhathum","Both Sexes",21857,5,139,2115,4465,4455,4813,3648,2217
