area,prov,dist,sex,area_name,sexname,rowtotal,a_below10,b_10to14,c_15to17,d_18to20,e_21to24,f_25to29,g_30to34,h_35to39,i_40t44,j_45t49,k_50plus,l_notstd
10,0,0,0,"Nepal","Both Sexes",16022870,54348,1125205,3575777,5511626,3293290,1845601,450516,99067,26824,6417,3646,30553
10,0,0,1,"Nepal","Male",7116659,8575,214266,872401,2318006,1908640,1322893,355450,76590,20210,4915,2813,11900
10,0,0,2,"Nepal","Female",8906211,45773,910939,2703376,3193620,1384650,522708,95066,22477,6614,1502,833,18653
21,0,0,0,"Urban Munipalities","Both Sexes",10631238,36953,736020,2280005,3519651,2246368,1353736,342877,72119,18287,4302,2361,18559
21,0,0,1,"Urban Munipalities","Male",4717429,5651,134104,535891,1442709,1274067,967509,274336,56810,14090,3326,1838,7098
21,0,0,2,"Urban Munipalities","Female",5913809,31302,601916,1744114,2076942,972301,386227,68541,15309,4197,976,523,11461
22,0,0,0,"Rural Municipalities","Both Sexes",5391632,17395,389185,1295772,1991975,1046922,491865,107639,26948,8537,2115,1285,11994
22,0,0,1,"Rural Municipalities","Male",2399230,2924,80162,336510,875297,634573,355384,81114,19780,6120,1589,975,4802
22,0,0,2,"Rural Municipalities","Female",2992402,14471,309023,959262,1116678,412349,136481,26525,7168,2417,526,310,7192
31,0,0,0,"Mountain","Both Sexes",955658,2537,63247,203936,355275,200459,95718,23020,6323,2130,520,325,2168
31,0,0,1,"Mountain","Male",443440,465,15059,58388,159924,119026,66671,16460,4476,1517,391,246,817
31,0,0,2,"Mountain","Female",512218,2072,48188,145548,195351,81433,29047,6560,1847,613,129,79,1351
32,0,0,0,"Hill","Both Sexes",6594978,24510,392758,1336374,2123784,1501787,891715,236591,53861,14359,3615,1970,13654
32,0,0,1,"Hill","Male",2924439,3681,74676,320227,835449,834283,613082,181946,40864,10671,2734,1520,5306
32,0,0,2,"Hill","Female",3670539,20829,318082,1016147,1288335,667504,278633,54645,12997,3688,881,450,8348
33,0,0,0,"Tarai","Both Sexes",8472234,27301,669200,2035467,3032567,1591044,858168,190905,38883,10335,2282,1351,14731
33,0,0,1,"Tarai","Male",3748780,4429,124531,493786,1322633,955331,643140,157044,31250,8022,1790,1047,5777
33,0,0,2,"Tarai","Female",4723454,22872,544669,1541681,1709934,635713,215028,33861,7633,2313,492,304,8954
40,1,0,0,"Province-1","Both Sexes",2794229,8402,150488,513006,858251,670013,424029,125393,30594,8661,2002,1128,2262
40,1,0,1,"Province-1","Male",1247468,1605,28377,111040,315070,362047,298769,97603,23211,6429,1562,879,876
40,1,0,2,"Province-1","Female",1546761,6797,122111,401966,543181,307966,125260,27790,7383,2232,440,249,1386
40,2,0,0,"Madhesh","Both Sexes",3175179,6749,295944,881078,1255717,461697,222990,37751,6567,1873,337,268,4208
40,2,0,1,"Madhesh","Male",1427024,1324,54106,215573,609236,321969,182956,32648,5567,1436,261,190,1758
40,2,0,2,"Madhesh","Female",1748155,5425,241838,665505,646481,139728,40034,5103,1000,437,76,78,2450
40,3,0,0,"Bagmati","Both Sexes",3492079,12889,200760,623245,1046382,833300,564685,162605,34269,8627,1990,1011,2316
40,3,0,1,"Bagmati","Male",1611008,2298,42275,161254,416922,445672,380027,126223,26580,6557,1519,796,885
40,3,0,2,"Bagmati","Female",1881071,10591,158485,461991,629460,387628,184658,36382,7689,2070,471,215,1431
40,4,0,0,"Gandaki","Both Sexes",1446399,7032,82931,286431,454471,352242,197716,43560,10579,2884,868,521,7164
40,4,0,1,"Gandaki","Male",610121,767,11480,53795,157842,195342,142944,34056,7872,2156,635,396,2836
40,4,0,2,"Gandaki","Female",836278,6265,71451,232636,296629,156900,54772,9504,2707,728,233,125,4328
40,5,0,0,"Lumbini","Both Sexes",2807352,11116,206867,684641,1016355,555044,261246,49495,10347,2847,751,425,8218
40,5,0,1,"Lumbini","Male",1216062,1660,42183,173770,427450,325887,191080,39679,8109,2153,574,333,3184
40,5,0,2,"Lumbini","Female",1591290,9456,164684,510871,588905,229157,70166,9816,2238,694,177,92,5034
40,6,0,0,"Karnali","Both Sexes",882794,1173,56537,235308,347083,163520,60892,10836,2643,760,212,104,3726
40,6,0,1,"Karnali","Male",398561,220,11742,65361,163332,102367,43023,8220,1998,579,164,82,1473
40,6,0,2,"Karnali","Female",484233,953,44795,169947,183751,61153,17869,2616,645,181,48,22,2253
40,7,0,0,"Sudur Paschim","Both Sexes",1424838,6987,131678,352068,533367,257474,114043,20876,4068,1172,257,189,2659
40,7,0,1,"Sudur Paschim","Male",606415,701,24103,91608,228154,155356,84094,17021,3253,900,200,137,888
