area,prov,dist,sex,area_name,sexname,rowtotal,a_physical,b_lowvision,c_blind,d_deaf,e_hardhear,f_deafblind,g_speech,h_mental,i_intellect,j_hemophilia,k_autism,l_multiple,m_nodisabl,n_notstd
10,0,0,0,"Nepal","Both Sexes",29164578,240609,110525,35142,51373,51520,10187,41676,28045,11358,4937,4886,57486,28509796,7038
10,0,0,1,"Nepal","Male",14253551,141434,53730,17804,26875,26099,5368,23672,14973,5869,2357,2258,30862,13898662,3588
10,0,0,2,"Nepal","Female",14911027,99175,56795,17338,24498,25421,4819,18004,13072,5489,2580,2628,26624,14611134,3450
21,0,0,0,"Urban Munipalities","Both Sexes",19296788,144750,67288,21930,29050,29998,5801,24605,17955,7246,3409,3158,35539,18902175,3884
21,0,0,1,"Urban Munipalities","Male",9454545,84863,32598,11156,14875,15016,3003,14039,9666,3737,1671,1527,18902,9241508,1984
21,0,0,2,"Urban Munipalities","Female",9842243,59887,34690,10774,14175,14982,2798,10566,8289,3509,1738,1631,16637,9660667,1900
22,0,0,0,"Rural Municipalities","Both Sexes",9867790,95859,43237,13212,22323,21522,4386,17071,10090,4112,1528,1728,21947,9607621,3154
22,0,0,1,"Rural Municipalities","Male",4799006,56571,21132,6648,12000,11083,2365,9633,5307,2132,686,731,11960,4657154,1604
22,0,0,2,"Rural Municipalities","Female",5068784,39288,22105,6564,10323,10439,2021,7438,4783,1980,842,997,9987,4950467,1550
31,0,0,0,"Mountain","Both Sexes",1772948,20968,7483,2512,4884,4223,916,3115,1451,610,241,328,4239,1721708,270
31,0,0,1,"Mountain","Male",874260,12300,3703,1241,2721,2253,487,1736,734,271,111,118,2236,846202,147
31,0,0,2,"Mountain","Female",898688,8668,3780,1271,2163,1970,429,1379,717,339,130,210,2003,875506,123
32,0,0,0,"Hill","Both Sexes",11757624,110999,47996,14235,25437,26920,4772,19315,12804,4871,2100,2229,25117,11455880,4949
32,0,0,1,"Hill","Male",5717247,64004,23387,7115,13430,13561,2518,10817,6656,2498,1011,1079,13357,5555314,2500
32,0,0,2,"Hill","Female",6040377,46995,24609,7120,12007,13359,2254,8498,6148,2373,1089,1150,11760,5900566,2449
33,0,0,0,"Tarai","Both Sexes",15634006,108642,55046,18395,21052,20377,4499,19246,13790,5877,2596,2329,28130,15332208,1819
33,0,0,1,"Tarai","Male",7662044,65130,26640,9448,10724,10285,2363,11119,7583,3100,1235,1061,15269,7497146,941
33,0,0,2,"Tarai","Female",7971962,43512,28406,8947,10328,10092,2136,8127,6207,2777,1361,1268,12861,7835062,878
40,1,0,0,"Province-1","Both Sexes",4961412,40422,19239,6367,9121,11106,2025,8520,5518,2252,857,901,10891,4843949,244
40,1,0,1,"Province-1","Male",2417328,23549,9434,3223,4777,5880,1079,4713,2842,1121,408,374,5808,2353969,151
40,1,0,2,"Province-1","Female",2544084,16873,9805,3144,4344,5226,946,3807,2676,1131,449,527,5083,2489980,93
40,2,0,0,"Madhesh","Both Sexes",6114600,34486,15818,7329,5920,3216,1362,6362,3905,1763,980,780,9479,6022953,247
40,2,0,1,"Madhesh","Male",3065751,21455,7915,3750,3057,1649,768,3908,2322,942,475,351,5348,3013675,136
40,2,0,2,"Madhesh","Female",3048849,13031,7903,3579,2863,1567,594,2454,1583,821,505,429,4131,3009278,111
40,3,0,0,"Bagmati","Both Sexes",6116866,43504,22329,6751,9401,10703,1889,7328,5660,2254,1335,1253,11693,5992474,292
40,3,0,1,"Bagmati","Male",3048684,24825,10871,3384,4997,5389,989,4047,2863,1139,630,623,6131,2982635,161
40,3,0,2,"Bagmati","Female",3068182,18679,11458,3367,4404,5314,900,3281,2797,1115,705,630,5562,3009839,131
40,4,0,0,"Gandaki","Both Sexes",2466427,24282,12158,2689,7741,7299,1154,5369,3844,1357,232,435,5770,2389496,4601
40,4,0,1,"Gandaki","Male",1170833,14184,5971,1353,4031,3556,589,2895,1983,692,120,211,3062,1129933,2253
40,4,0,2,"Gandaki","Female",1295594,10098,6187,1336,3710,3743,565,2474,1861,665,112,224,2708,1259563,2348
40,5,0,0,"Lumbini","Both Sexes",5122078,45569,21277,6066,9353,9653,1869,7147,5182,2249,958,856,10235,5000789,875
40,5,0,1,"Lumbini","Male",2454408,26930,10256,3156,4776,4845,972,4093,2852,1247,431,397,5444,2388531,478
40,5,0,2,"Lumbini","Female",2667670,18639,11021,2910,4577,4808,897,3054,2330,1002,527,459,4791,2612258,397
40,6,0,0,"Karnali","Both Sexes",1688412,23901,7471,2268,4809,4024,822,3215,1458,530,174,309,3623,1635360,448
40,6,0,1,"Karnali","Male",823761,14172,3649,1132,2667,2081,435,1872,790,249,99,149,1945,794280,241
40,6,0,2,"Karnali","Female",864651,9729,3822,1136,2142,1943,387,1343,668,281,75,160,1678,841080,207
40,7,0,0,"Sudur Paschim","Both Sexes",2694783,28445,12233,3672,5028,5519,1066,3735,2478,953,401,352,5795,2624775,331
40,7,0,1,"Sudur Paschim","Male",1272786,16319,5634,1806,2570,2699,536,2144,1321,479,194,153,3124,1235639,168
40,7,0,2,"Sudur Paschim","Female",1421997,12126,6599,1866,2458,2820,530,1591,1157,474,207,199,2671,1389136,163
