area,prov,dist,sex,area_name,sexname,rowtotal,a_readwrite,b_readonly,c_noreadwrite,d_notstd
10,0,0,0,"Nepal","Both Sexes",26725295,20377980,114331,6223061,9923
10,0,0,1,"Nepal","Male",12963026,10830886,43921,2083529,4690
10,0,0,2,"Nepal","Female",13762269,9547094,70410,4139532,5233
21,0,0,0,"Urban Munipalities","Both Sexes",17749687,13928591,70849,3744704,5543
21,0,0,1,"Urban Munipalities","Male",8630222,7371159,26717,1229749,2597
21,0,0,2,"Urban Munipalities","Female",9119465,6557432,44132,2514955,2946
22,0,0,0,"Rural Municipalities","Both Sexes",8975608,6449389,43482,2478357,4380
22,0,0,1,"Rural Municipalities","Male",4332804,3459727,17204,853780,2093
22,0,0,2,"Rural Municipalities","Female",4642804,2989662,26278,1624577,2287
31,0,0,0,"Mountain","Both Sexes",1618454,1177540,7496,432415,1003
31,0,0,1,"Mountain","Male",793736,643515,3103,146621,497
31,0,0,2,"Mountain","Female",824718,534025,4393,285794,506
32,0,0,0,"Hill","Both Sexes",10879634,8799144,53992,2021332,5166
32,0,0,1,"Hill","Male",5254080,4617823,19516,614369,2372
32,0,0,2,"Hill","Female",5625554,4181321,34476,1406963,2794
33,0,0,0,"Tarai","Both Sexes",14227207,10401296,52843,3769314,3754
33,0,0,1,"Tarai","Male",6915210,5569548,21302,1322539,1821
33,0,0,2,"Tarai","Female",7311997,4831748,31541,2446775,1933
40,1,0,0,"Province-1","Both Sexes",4578440,3648225,11469,918528,218
40,1,0,1,"Province-1","Male",2218709,1910756,4793,303064,96
40,1,0,2,"Province-1","Female",2359731,1737469,6676,615464,122
40,2,0,0,"Madhesh","Both Sexes",5473478,3477413,14231,1981166,668
40,2,0,1,"Madhesh","Male",2722401,1972460,6859,742731,351
40,2,0,2,"Madhesh","Female",2751077,1504953,7372,1238435,317
40,3,0,0,"Bagmati","Both Sexes",5718388,4692353,20526,1005281,228
40,3,0,1,"Bagmati","Male",2837341,2504079,7841,325303,118
40,3,0,2,"Bagmati","Female",2881047,2188274,12685,679978,110
40,4,0,0,"Gandaki","Both Sexes",2297497,1875910,18252,399642,3693
40,4,0,1,"Gandaki","Male",1080724,959289,6332,113407,1696
40,4,0,2,"Gandaki","Female",1216773,916621,11920,286235,1997
40,5,0,0,"Lumbini","Both Sexes",4682237,3655933,25233,998751,2320
40,5,0,1,"Lumbini","Male",2223630,1894018,9229,319293,1090
40,5,0,2,"Lumbini","Female",2458607,1761915,16004,679458,1230
40,6,0,0,"Karnali","Both Sexes",1519611,1156194,8980,352697,1740
40,6,0,1,"Karnali","Male",735203,612069,3398,118887,849
40,6,0,2,"Karnali","Female",784408,544125,5582,233810,891
