area,prov,dist,sex,area_name,sexname,rowtotal,allNativeBorn,nb_samePalika,nb_othrPalika,nb_othrDist,fBorn,notstd
10,0,0,0,"Nepal","Both Sexes",29164578,28420333,20117395,2612713,5690225,734663,9582
10,0,0,1,"Nepal","Male",14253551,14062658,11163998,557444,2341216,186826,4067
10,0,0,2,"Nepal","Female",14911027,14357675,8953397,2055269,3349009,547837,5515
21,0,0,0,"Urban Munipalities","Both Sexes",19296788,18784366,12109411,1803941,4871014,506479,5943
21,0,0,1,"Urban Munipalities","Male",9454545,9297646,6736132,464228,2097286,154406,2493
21,0,0,2,"Urban Munipalities","Female",9842243,9486720,5373279,1339713,2773728,352073,3450
22,0,0,0,"Rural Municipalities","Both Sexes",9867790,9635967,8007984,808772,819211,228184,3639
22,0,0,1,"Rural Municipalities","Male",4799006,4765012,4427866,93216,243930,32420,1574
22,0,0,2,"Rural Municipalities","Female",5068784,4870955,3580118,715556,575281,195764,2065
31,0,0,0,"Mountain","Both Sexes",1772948,1765996,1522421,147741,95834,6516,436
31,0,0,1,"Mountain","Male",874260,870499,812099,28237,30163,3556,205
31,0,0,2,"Mountain","Female",898688,895497,710322,119504,65671,2960,231
32,0,0,0,"Hill","Both Sexes",11757624,11624395,7907506,1053852,2663037,128182,5047
32,0,0,1,"Hill","Male",5717247,5646526,4227950,274591,1143985,68650,2071
32,0,0,2,"Hill","Female",6040377,5977869,3679556,779261,1519052,59532,2976
33,0,0,0,"Tarai","Both Sexes",15634006,15029942,10687468,1411120,2931354,599965,4099
33,0,0,1,"Tarai","Male",7662044,7545633,6123949,254616,1167068,114620,1791
33,0,0,2,"Tarai","Female",7971962,7484309,4563519,1156504,1764286,485345,2308
40,1,0,0,"Province-1","Both Sexes",4961412,4816286,3325125,445007,1046154,143510,1616
40,1,0,1,"Province-1","Male",2417328,2372636,1833098,116662,422876,44039,653
40,1,0,2,"Province-1","Female",2544084,2443650,1492027,328345,623278,99471,963
40,2,0,0,"Madhesh","Both Sexes",6114600,5877432,4713228,688887,475317,236597,571
40,2,0,1,"Madhesh","Male",3065751,3049364,2860619,71714,117031,16086,301
40,2,0,2,"Madhesh","Female",3048849,2828068,1852609,617173,358286,220511,270
40,3,0,0,"Bagmati","Both Sexes",6116866,6025689,3396954,491378,2137357,90384,793
40,3,0,1,"Bagmati","Male",3048684,2998058,1859513,156757,981788,50265,361
40,3,0,2,"Bagmati","Female",3068182,3027631,1537441,334621,1155569,40119,432
40,4,0,0,"Gandaki","Both Sexes",2466427,2421434,1623644,282306,515484,42015,2978
40,4,0,1,"Gandaki","Male",1170833,1147205,866832,75484,204889,22341,1287
40,4,0,2,"Gandaki","Female",1295594,1274229,756812,206822,310595,19674,1691
40,5,0,0,"Lumbini","Both Sexes",5122078,4932868,3647334,387880,897654,187177,2033
40,5,0,1,"Lumbini","Male",2454408,2414726,1978179,72912,363635,38872,810
40,5,0,2,"Lumbini","Female",2667670,2518142,1669155,314968,534019,148305,1223
40,6,0,0,"Karnali","Both Sexes",1688412,1682276,1436164,101604,144508,5441,695
40,6,0,1,"Karnali","Male",823761,820609,739864,22881,57864,2873,279
40,6,0,2,"Karnali","Female",864651,861667,696300,78723,86644,2568,416
40,7,0,0,"Sudur Paschim","Both Sexes",2694783,2664348,1974946,215651,473751,29539,896
40,7,0,1,"Sudur Paschim","Male",1272786,1260060,1025893,41034,193133,12350,376
40,7,0,2,"Sudur Paschim","Female",1421997,1404288,949053,174617,280618,17189,520
50,1,1,0,"Taplejung","Both Sexes",120590,119902,97430,15673,6799,653,35
