area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
10,0,0,0,"Nepal","Total",734663,713973,3298,6444,2381,5599,545,826,676,89,116,372,219,125
10,0,0,1,"Nepal","Male",186826,175930,1344,3329,1742,2971,287,414,350,45,67,182,116,49
10,0,0,2,"Nepal","Female",547837,538043,1954,3115,639,2628,258,412,326,44,49,190,103,76
21,0,0,0,"Urban Munipalities","Total",506479,489169,2527,5344,1838,4787,527,786,656,82,111,359,202,91
21,0,0,1,"Urban Munipalities","Male",154406,145528,1062,2638,1262,2473,279,396,338,42,62,176,108,42
21,0,0,2,"Urban Munipalities","Female",352073,343641,1465,2706,576,2314,248,390,318,40,49,183,94,49
22,0,0,0,"Rural Municipalities","Total",228184,224804,771,1100,543,812,18,40,20,7,5,13,17,34
22,0,0,1,"Rural Municipalities","Male",32420,30402,282,691,480,498,8,18,12,3,5,6,8,7
22,0,0,2,"Rural Municipalities","Female",195764,194402,489,409,63,314,10,22,8,4,0,7,9,27
22,0,0,,"Rural Municipalities","",0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,"Mountain","Total",6516,5926,105,78,36,338,9,7,14,0,2,0,0,1
31,0,0,1,"Mountain","Male",3556,3262,56,51,24,147,4,3,7,0,2,0,0,0
31,0,0,2,"Mountain","Female",2960,2664,49,27,12,191,5,4,7,0,0,0,0,1
31,0,0,,"Mountain","",0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,"Hill","Total",128182,116914,1176,2689,1311,3770,428,641,596,63,79,260,187,68
32,0,0,1,"Hill","Male",68650,62575,528,1409,943,2001,221,335,304,33,46,115,103,37
32,0,0,2,"Hill","Female",59532,54339,648,1280,368,1769,207,306,292,30,33,145,84,31
32,0,0,,"Hill","",0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,"Tarai","Total",599965,591133,2017,3677,1034,1491,108,178,66,26,35,112,32,56
33,0,0,1,"Tarai","Male",114620,110093,760,1869,775,823,62,76,39,12,19,67,13,12
33,0,0,2,"Tarai","Female",485345,481040,1257,1808,259,668,46,102,27,14,16,45,19,44
40,1,0,0,"Province-1","Total",143510,138173,1665,1733,990,758,36,52,33,15,10,25,11,9
40,1,0,1,"Province-1","Male",44039,40979,701,1014,842,403,22,23,20,7,5,18,4,1
40,1,0,2,"Province-1","Female",99471,97194,964,719,148,355,14,29,13,8,5,7,7,8
40,2,0,0,"Madhesh","Total",236597,236148,175,113,92,22,7,10,5,5,3,1,3,13
40,2,0,1,"Madhesh","Male",16086,15903,29,53,83,3,4,3,4,1,0,0,1,2
40,2,0,2,"Madhesh","Female",220511,220245,146,60,9,19,3,7,1,4,3,1,2,11
40,3,0,0,"Bagmati","Total",90384,81390,910,2034,707,3229,377,545,556,56,82,262,177,59
40,3,0,1,"Bagmati","Male",50265,45776,436,949,411,1618,196,271,279,31,48,122,98,30
