area,prov,dist,sex,area_name,sexname,rowtotal,a_armed,b_managr,c_profesnl,d_technician,e_clerical,f_service,g_skillagri,h_craft,i_plant,j_elementary,k_notstd
10,0,0,0,"Nepal","Both Sexes",14982993,104669,771840,569327,278772,197523,869669,7503041,836112,402179,3437096,12765
10,0,0,1,"Nepal","Male",7876561,95804,522968,342539,180031,113183,560069,3459402,683669,382058,1529441,7397
10,0,0,2,"Nepal","Female",7106432,8865,248872,226788,98741,84340,309600,4043639,152443,20121,1907655,5368
21,0,0,0,"Urban Munipalities","Both Sexes",9548012,89359,630991,431494,235134,169280,709279,3883161,619900,309217,2462386,7811
21,0,0,1,"Urban Munipalities","Male",5118391,81442,431499,259004,152240,95436,455801,1773013,499000,292853,1073413,4690
21,0,0,2,"Urban Munipalities","Female",4429621,7917,199492,172490,82894,73844,253478,2110148,120900,16364,1388973,3121
22,0,0,0,"Rural Municipalities","Both Sexes",5434981,15310,140849,137833,43638,28243,160390,3619880,216212,92962,974710,4954
22,0,0,1,"Rural Municipalities","Male",2758170,14362,91469,83535,27791,17747,104268,1686389,184669,89205,456028,2707
22,0,0,2,"Rural Municipalities","Female",2676811,948,49380,54298,15847,10496,56122,1933491,31543,3757,518682,2247
31,0,0,0,"Mountain","Both Sexes",1038580,6550,32668,31750,11177,7145,35700,752837,26861,11381,121987,524
31,0,0,1,"Mountain","Male",518540,6260,20835,20027,7052,4676,22857,344369,22538,10899,58738,289
31,0,0,2,"Mountain","Female",520040,290,11833,11723,4125,2469,12843,408468,4323,482,63249,235
32,0,0,0,"Hill","Both Sexes",6479444,68349,385442,297428,152016,116114,413909,3450634,308511,156229,1125133,5679
32,0,0,1,"Hill","Male",3286152,61909,254095,171906,94570,61893,252022,1516138,237028,147218,486442,2931
32,0,0,2,"Hill","Female",3193292,6440,131347,125522,57446,54221,161887,1934496,71483,9011,638691,2748
33,0,0,0,"Tarai","Both Sexes",7464969,29770,353730,240149,115579,74264,420060,3299570,500740,234569,2189976,6562
