area,prov,dist,area_name,tot_male,tot_feml,emp_male,emp_feml,unemp_male,unemp_feml,nua_male,nua_feml,nea_male,nea_feml,notstd_male,notstd_feml
10,0,0,"Nepal",11519621,12439247,6043037,4227328,400928,366730,1752940,2898287,3296931,4914608,25785,32294
21,0,0,"Urban Munipalities",7695786,8279824,4010885,2599680,267386,256612,1077769,1859158,2323671,3543957,16075,20417
22,0,0,"Rural Municipalities",3823835,4159423,2032152,1627648,133542,110118,675171,1039129,973260,1370651,9710,11877
31,0,0,"Mountain",703149,737394,374559,338882,25157,19906,132540,176032,169303,200718,1590,1856
32,0,0,"Hill",4729532,5146389,2515378,2039655,164354,146029,727949,1141348,1307746,1800856,14105,18501
33,0,0,"Tarai",6086940,6555464,3153100,1848791,211417,200795,892451,1580907,1819882,2913034,10090,11937
40,1,0,"Province-1",1987135,2139959,1160714,863375,57649,53238,300909,496326,466389,725118,1474,1902
40,2,0,"Madhesh",2355108,2414905,1164519,489670,79369,70042,338971,588014,769818,1264920,2431,2259
40,3,0,"Bagmati",2595088,2665603,1433634,976946,79778,71987,319674,522558,760357,1092305,1645,1807
40,4,0,"Gandaki",973399,1122075,484998,428193,38676,34651,146555,243113,292081,401182,11089,14936
40,5,0,"Lumbini",1963780,2220519,996070,724525,78076,73502,322802,557241,561840,859114,4992,6137
40,6,0,"Karnali",641858,696035,323651,294833,26685,23543,120100,169799,168638,204411,2784,3449
40,7,0,"Sudur Paschim",1003253,1180151,479451,449786,40695,39767,203929,321236,277808,367558,1370,1804
50,1,1,"Taplejung",49590,49064,28360,21909,1568,1211,8967,12403,10658,13503,37,38
50,1,2,"Sankhuwasabha",65497,65369,44885,39790,1172,995,14418,18195,4973,6334,49,55
50,1,3,"Solukhumbu",43621,43542,25743,23451,1204,638,7817,9437,8830,9994,27,22
50,1,4,"Okhaldhunga",57265,60871,26544,24349,3791,2451,12875,17666,14028,16383,27,22
