area,prov,dist,sex,area_name,sexname,rowtotal,a_employee,b_employer,c_ownaccount,d_familysupp,e_notstd
10,0,0,0,"Nepal","Both Sexes",14982993,4295686,212440,8291330,2172590,10947
10,0,0,1,"Nepal","Male",7876561,2736873,160346,4096694,876705,5943
10,0,0,2,"Nepal","Female",7106432,1558813,52094,4194636,1295885,5004
21,0,0,0,"Urban Munipalities","Both Sexes",9548012,3244318,169457,4781101,1346454,6682
21,0,0,1,"Urban Munipalities","Male",5118391,2045665,130441,2401653,536858,3774
21,0,0,2,"Urban Munipalities","Female",4429621,1198653,39016,2379448,809596,2908
22,0,0,0,"Rural Municipalities","Both Sexes",5434981,1051368,42983,3510229,826136,4265
22,0,0,1,"Rural Municipalities","Male",2758170,691208,29905,1695041,339847,2169
22,0,0,2,"Rural Municipalities","Female",2676811,360160,13078,1815188,486289,2096
31,0,0,0,"Mountain","Both Sexes",1038580,150715,9365,735717,142285,498
31,0,0,1,"Mountain","Male",518540,104746,6305,343747,63477,265
31,0,0,2,"Mountain","Female",520040,45969,3060,391970,78808,233
32,0,0,0,"Hill","Both Sexes",6479444,1677243,101360,3741743,952483,6615
32,0,0,1,"Hill","Male",3286152,1044489,74437,1770308,393502,3416
32,0,0,2,"Hill","Female",3193292,632754,26923,1971435,558981,3199
33,0,0,0,"Tarai","Both Sexes",7464969,2467728,101715,3813870,1077822,3834
33,0,0,1,"Tarai","Male",4071869,1587638,79604,1982639,419726,2262
33,0,0,2,"Tarai","Female",3393100,880090,22111,1831231,658096,1572
40,1,0,0,"Province-1","Both Sexes",2834056,770016,34220,1590775,438558,487
40,1,0,1,"Province-1","Male",1475169,479167,25593,794114,176002,293
40,1,0,2,"Province-1","Female",1358887,290849,8627,796661,262556,194
40,2,0,0,"Madhesh","Both Sexes",2550293,911985,26860,1249320,361520,608
40,2,0,1,"Madhesh","Male",1502882,600621,22226,736238,143380,417
40,2,0,2,"Madhesh","Female",1047411,311364,4634,513082,218140,191
40,3,0,0,"Bagmati","Both Sexes",3246669,1168754,70302,1629377,377589,647
40,3,0,1,"Bagmati","Male",1757242,722076,54158,828032,152591,385
40,3,0,2,"Bagmati","Female",1489427,446678,16144,801345,224998,262
40,4,0,0,"Gandaki","Both Sexes",1320180,341920,23730,772661,177018,4851
40,4,0,1,"Gandaki","Male",643535,207718,16808,343522,72939,2548
40,4,0,2,"Gandaki","Female",676645,134202,6922,429139,104079,2303
40,5,0,0,"Lumbini","Both Sexes",2625862,681638,33488,1512541,395220,2975
40,5,0,1,"Lumbini","Male",1342549,443187,24913,718221,154647,1581
40,5,0,2,"Lumbini","Female",1283313,238451,8575,794320,240573,1394
40,6,0,0,"Karnali","Both Sexes",926333,140702,8994,608025,167708,904
40,6,0,1,"Karnali","Male",455453,97250,6055,280250,71450,448
40,6,0,2,"Karnali","Female",470880,43452,2939,327775,96258,456
40,7,0,0,"Sudur Paschim","Both Sexes",1479600,280671,14846,928631,254977,475
40,7,0,1,"Sudur Paschim","Male",699731,186854,10593,396317,105696,271
40,7,0,2,"Sudur Paschim","Female",779869,93817,4253,532314,149281,204
50,1,1,0,"Taplejung","Both Sexes",72880,10545,603,52238,9488,6
50,1,1,1,"Taplejung","Male",38178,6850,353,27050,3919,6
50,1,1,2,"Taplejung","Female",34702,3695,250,25188,5569,0
50,1,2,0,"Sankhuwasabha","Both Sexes",118841,14478,564,81547,22232,20
50,1,2,1,"Sankhuwasabha","Male",60228,10487,361,38991,10377,12
50,1,2,2,"Sankhuwasabha","Female",58613,3991,203,42556,11855,8
50,1,3,0,"Solukhumbu","Both Sexes",67140,11507,688,46940,7996,9
50,1,3,1,"Solukhumbu","Male",34200,8207,412,21946,3631,4
50,1,3,2,"Solukhumbu","Female",32940,3300,276,24994,4365,5
50,1,4,0,"Okhaldhunga","Both Sexes",85069,10683,609,62210,11561,6
50,1,4,1,"Okhaldhunga","Male",41921,7003,375,29700,4840,3
50,1,4,2,"Okhaldhunga","Female",43148,3680,234,32510,6721,3
50,1,5,0,"Khotang","Both Sexes",122590,10010,559,70325,41691,5
50,1,5,1,"Khotang","Male",60881,6504,347,36842,17186,2
50,1,5,2,"Khotang","Female",61709,3506,212,33483,24505,3
50,1,6,0,"Bhojpur","Both Sexes",103262,9675,435,77680,15462,10
50,1,6,1,"Bhojpur","Male",51876,6168,286,38682,6734,6
50,1,6,2,"Bhojpur","Female",51386,3507,149,38998,8728,4
50,1,7,0,"Dhankuta","Both Sexes",105413,13036,780,70704,20883,10
50,1,7,1,"Dhankuta","Male",52205,8669,518,34017,8995,6
50,1,7,2,"Dhankuta","Female",53208,4367,262,36687,11888,4
50,1,8,0,"Terhathum","Both Sexes",64268,6572,309,44101,13279,7
50,1,8,1,"Terhathum","Male",31660,4236,197,21509,5714,4
