area,prov,dist,sex,area_name,sexname,rowtotal,a_govt,b_financl,c_nfinancl,d_nprofit,e_hhldsectr,f_notstd
10,0,0,0,"Nepal","Both Sexes",14982993,678086,199811,4779324,64674,9248320,12778
10,0,0,1,"Nepal","Male",7876561,485460,116433,2693527,46093,4527677,7371
10,0,0,2,"Nepal","Female",7106432,192626,83378,2085797,18581,4720643,5407
21,0,0,0,"Urban Munipalities","Both Sexes",9548012,498799,168992,3695751,50630,5125743,8097
21,0,0,1,"Urban Munipalities","Male",5118391,363152,97016,2092146,35028,2526200,4849
21,0,0,2,"Urban Munipalities","Female",4429621,135647,71976,1603605,15602,2599543,3248
22,0,0,0,"Rural Municipalities","Both Sexes",5434981,179287,30819,1083573,14044,4122577,4681
22,0,0,1,"Rural Municipalities","Male",2758170,122308,19417,601381,11065,2001477,2522
22,0,0,2,"Rural Municipalities","Female",2676811,56979,11402,482192,2979,2121100,2159
31,0,0,0,"Mountain","Both Sexes",1038580,55641,5987,165116,2612,808695,529
31,0,0,1,"Mountain","Male",518540,40454,3822,93554,2032,378386,292
31,0,0,2,"Mountain","Female",520040,15187,2165,71562,580,430309,237
32,0,0,0,"Hill","Both Sexes",6479444,359298,112728,2006359,36675,3956841,7543
32,0,0,1,"Hill","Male",3286152,249961,61813,1131732,24853,1813704,4089
32,0,0,2,"Hill","Female",3193292,109337,50915,874627,11822,2143137,3454
33,0,0,0,"Tarai","Both Sexes",7464969,263147,81096,2607849,25387,4482784,4706
33,0,0,1,"Tarai","Male",4071869,195045,50798,1468241,19208,2335587,2990
33,0,0,2,"Tarai","Female",3393100,68102,30298,1139608,6179,2147197,1716
40,1,0,0,"Province-1","Both Sexes",2834056,109320,29057,768000,7656,1919464,559
40,1,0,1,"Province-1","Male",1475169,75314,16853,437647,5376,939594,385
40,1,0,2,"Province-1","Female",1358887,34006,12204,330353,2280,979870,174
40,2,0,0,"Madhesh","Both Sexes",2550293,78662,22140,931158,7156,1510453,724
40,2,0,1,"Madhesh","Male",1502882,62897,16945,511353,5979,905186,522
40,2,0,2,"Madhesh","Female",1047411,15765,5195,419805,1177,605267,202
40,3,0,0,"Bagmati","Both Sexes",3246669,200860,87861,1429745,26466,1501060,677
40,3,0,1,"Bagmati","Male",1757242,141993,47844,829980,17525,719460,440
40,3,0,2,"Bagmati","Female",1489427,58867,40017,599765,8941,781600,237
40,4,0,0,"Gandaki","Both Sexes",1320180,70246,19444,414688,6739,803282,5781
40,4,0,1,"Gandaki","Male",643535,46359,10213,225086,4844,353854,3179
