area,prov,dist,area_name,rowtotal,a_Own,b_Rented,c_Institutnl,d_Other,,,,
10,0,0,Nepal,6660841,5728586,850562,36809,44884,,,,
21,0,0,Urban Munipalities,4474699,3618763,794696,30274,30966,,,,
22,0,0,Rural Municipalities,2186142,2109823,55866,6535,13918,,,,
31,0,0,Mountain,409260,384495,20792,2017,1956,,,,
32,0,0,Hill,2945030,2319710,589600,17024,18696,,,,
33,0,0,Tarai,3306551,3024381,240170,17768,24232,,,,
40,1,0,Province-1,1190755,1067240,103586,8258,11671,,,,
40,2,0,Madhesh,1156383,1117188,26633,4753,7809,,,,
40,3,0,Bagmati,1567917,1084672,464512,10431,8302,,,,
40,4,0,Gandaki,661632,532518,116721,5216,7177,,,,
40,5,0,Lumbini,1141345,1036311,94336,4458,6240,,,,
40,6,0,Karnali,366037,344079,19393,1294,1271,,,,
40,7,0,Sudur Paschim,576772,546578,25381,2399,2414,,,,
50,1,1,Taplejung,27776,24732,2541,118,385,,,,
50,1,2,Sankhuwasabha,39118,35677,2796,185,460,,,,
50,1,3,Solukhumbu,26239,23586,2341,133,179,,,,
50,1,4,Okhaldhunga,34286,33643,522,28,93,,,,
50,1,5,Khotang,41720,39933,1474,84,229,,,,
50,1,6,Bhojpur,38580,36348,1543,201,488,,,,
50,1,7,Dhankuta,37616,33930,2985,443,258,,,,
50,1,8,Terhathum,21845,19543,1742,149,411,,,,
50,1,9,Panchthar,42437,38392,3415,192,438,,,,
50,1,10,Ilam,70501,66500,3305,326,370,,,,
50,1,11,Jhapa,245019,210536,29546,1982,2955,,,,
50,1,12,Morang,272160,244835,23004,1633,2688,,,,
50,1,13,Sunsari,212407,182847,24883,2363,2314,,,,
50,1,14,Udayapur,81051,76738,3489,421,403,,,,
50,2,15,Saptari,146816,143628,1245,612,1331,,,,
50,2,16,Siraha,148549,144376,1904,702,1567,,,,
50,2,17,Dhanusa,177091,168439,6809,1050,793,,,,
50,2,18,Mahottari,137886,134153,2164,361,1208,,,,
50,2,19,Sarlahi,164824,161135,2306,430,953,,,,
50,2,20,Rautahat,137025,133911,1870,469,775,,,,
50,2,21,Bara,131179,126752,3344,332,751,,,,
50,2,22,Parsa,113013,104794,6991,797,431,,,,
