area,prov,dist,sex,area_name,sexname,rowtotal,a_nepal,b_india,c_china,d_saarc,e_other,f_notstd
10,0,0,0,"Nepal","Both Sexes",29164578,29027171,132781,1882,580,1975,189
10,0,0,1,"Nepal","Male",14253551,14177720,73243,1167,336,977,108
10,0,0,2,"Nepal","Female",14911027,14849451,59538,715,244,998,81
21,0,0,0,"Urban Munipalities","Both Sexes",19296788,19182996,109904,1336,550,1816,186
21,0,0,1,"Urban Munipalities","Male",9454545,9387637,64793,796,311,903,105
21,0,0,2,"Urban Munipalities","Female",9842243,9795359,45111,540,239,913,81
22,0,0,0,"Rural Municipalities","Both Sexes",9867790,9844175,22877,546,30,159,3
22,0,0,1,"Rural Municipalities","Male",4799006,4790083,8450,371,25,74,3
22,0,0,2,"Rural Municipalities","Female",5068784,5054092,14427,175,5,85,0
31,0,0,0,"Mountain","Both Sexes",1772948,1770473,2119,277,26,52,1
31,0,0,1,"Mountain","Male",874260,872145,1953,117,23,21,1
31,0,0,2,"Mountain","Female",898688,898328,166,160,3,31,0
32,0,0,0,"Hill","Both Sexes",11757624,11699111,54839,1416,463,1629,166
32,0,0,1,"Hill","Male",5717247,5676935,38252,895,259,809,97
32,0,0,2,"Hill","Female",6040377,6022176,16587,521,204,820,69
33,0,0,0,"Tarai","Both Sexes",15634006,15557587,75823,189,91,294,22
33,0,0,1,"Tarai","Male",7662044,7628640,33038,155,54,147,10
33,0,0,2,"Tarai","Female",7971962,7928947,42785,34,37,147,12
40,1,0,0,"Province-1","Both Sexes",4961412,4942158,19019,47,63,118,7
40,1,0,1,"Province-1","Male",2417328,2405833,11378,22,38,55,2
40,1,0,2,"Province-1","Female",2544084,2536325,7641,25,25,63,5
40,2,0,0,"Madhesh","Both Sexes",6114600,6087176,27307,4,20,90,3
40,2,0,1,"Madhesh","Male",3065751,3059884,5809,1,10,45,2
40,2,0,2,"Madhesh","Female",3048849,3027292,21498,3,10,45,1
40,3,0,0,"Bagmati","Both Sexes",6116866,6065096,48361,1450,402,1404,153
40,3,0,1,"Bagmati","Male",3048684,3013401,33462,797,236,699,89
40,3,0,2,"Bagmati","Female",3068182,3051695,14899,653,166,705,64
40,4,0,0,"Gandaki","Both Sexes",2466427,2453472,12321,341,69,202,22
40,4,0,1,"Gandaki","Male",1170833,1161386,8988,315,29,103,12
40,4,0,2,"Gandaki","Female",1295594,1292086,3333,26,40,99,10
40,5,0,0,"Lumbini","Both Sexes",5122078,5103243,18681,36,5,109,4
40,5,0,1,"Lumbini","Male",2454408,2445019,9306,29,3,48,3
40,5,0,2,"Lumbini","Female",2667670,2658224,9375,7,2,61,1
40,6,0,0,"Karnali","Both Sexes",1688412,1687699,691,0,0,22,0
40,6,0,1,"Karnali","Male",823761,823301,448,0,0,12,0
40,6,0,2,"Karnali","Female",864651,864398,243,0,0,10,0
40,7,0,0,"Sudur Paschim","Both Sexes",2694783,2688327,6401,4,21,30,0
40,7,0,1,"Sudur Paschim","Male",1272786,1268896,3852,3,20,15,0
40,7,0,2,"Sudur Paschim","Female",1421997,1419431,2549,1,1,15,0
50,1,1,0,"Taplejung","Both Sexes",120590,120381,199,9,0,1,0
50,1,1,1,"Taplejung","Male",60773,60591,174,8,0,0,0
50,1,1,2,"Taplejung","Female",59817,59790,25,1,0,1,0
50,1,2,0,"Sankhuwasabha","Both Sexes",158041,156580,1460,0,0,1,0
50,1,2,1,"Sankhuwasabha","Male",79579,78140,1439,0,0,0,0
50,1,2,2,"Sankhuwasabha","Female",78462,78440,21,0,0,1,0
50,1,3,0,"Solukhumbu","Both Sexes",104851,104791,15,27,0,18,0
50,1,3,1,"Solukhumbu","Male",52747,52719,15,8,0,5,0
50,1,3,2,"Solukhumbu","Female",52104,52072,0,19,0,13,0
50,1,4,0,"Okhaldhunga","Both Sexes",139552,139538,9,0,0,5,0
50,1,4,1,"Okhaldhunga","Male",68080,68072,6,0,0,2,0
50,1,4,2,"Okhaldhunga","Female",71472,71466,3,0,0,3,0
50,1,5,0,"Khotang","Both Sexes",175298,175271,24,1,0,2,0
50,1,5,1,"Khotang","Male",86637,86617,17,1,0,2,0
50,1,5,2,"Khotang","Female",88661,88654,7,0,0,0,0
50,1,6,0,"Bhojpur","Both Sexes",157923,157892,28,0,1,2,0
50,1,6,1,"Bhojpur","Male",78211,78192,18,0,0,1,0
50,1,6,2,"Bhojpur","Female",79712,79700,10,0,1,1,0
50,1,7,0,"Dhankuta","Both Sexes",150599,150426,171,0,0,2,0
50,1,7,1,"Dhankuta","Male",73824,73713,111,0,0,0,0
50,1,7,2,"Dhankuta","Female",76775,76713,60,0,0,2,0
50,1,8,0,"Terhathum","Both Sexes",88731,88700,30,0,0,1,0
50,1,8,1,"Terhathum","Male",43581,43562,18,0,0,1,0
50,1,8,2,"Terhathum","Female",45150,45138,12,0,0,0,0
50,1,9,0,"Panchthar","Both Sexes",172400,172224,175,0,1,0,0
50,1,9,1,"Panchthar","Male",85683,85562,120,0,1,0,0
50,1,9,2,"Panchthar","Female",86717,86662,55,0,0,0,0
50,1,10,0,"Ilam","Both Sexes",279534,279099,423,0,1,11,0
50,1,10,1,"Ilam","Male",139431,139201,222,0,1,7,0
50,1,10,2,"Ilam","Female",140103,139898,201,0,0,4,0
50,1,11,0,"Jhapa","Both Sexes",998054,991553,6443,1,37,19,1
50,1,11,1,"Jhapa","Male",478509,474308,4156,1,30,13,1
50,1,11,2,"Jhapa","Female",519545,517245,2287,0,7,6,0
50,1,12,0,"Morang","Both Sexes",1148156,1143069,5035,6,21,19,6
50,1,12,1,"Morang","Male",557512,555055,2442,4,6,4,1
50,1,12,2,"Morang","Female",590644,588014,2593,2,15,15,5
50,1,13,0,"Sunsari","Both Sexes",926962,922136,4793,3,2,28,0
50,1,13,1,"Sunsari","Male",449023,446493,2514,0,0,16,0
50,1,13,2,"Sunsari","Female",477939,475643,2279,3,2,12,0
50,1,14,0,"Udayapur","Both Sexes",340721,340498,214,0,0,9,0
50,1,14,1,"Udayapur","Male",163738,163608,126,0,0,4,0
50,1,14,2,"Udayapur","Female",176983,176890,88,0,0,5,0
50,2,15,0,"Saptari","Both Sexes",706255,703890,2361,0,0,4,0
50,2,15,1,"Saptari","Male",351368,351119,248,0,0,1,0
50,2,15,2,"Saptari","Female",354887,352771,2113,0,0,3,0
50,2,16,0,"Siraha","Both Sexes",739953,737136,2803,0,10,4,0
50,2,16,1,"Siraha","Male",363724,363227,490,0,5,2,0
50,2,16,2,"Siraha","Female",376229,373909,2313,0,5,2,0
50,2,17,0,"Dhanusa","Both Sexes",867747,864537,3205,1,0,4,0
50,2,17,1,"Dhanusa","Male",429893,429084,805,0,0,4,0
50,2,17,2,"Dhanusa","Female",437854,435453,2400,1,0,0,0
50,2,18,0,"Mahottari","Both Sexes",706994,703799,3172,1,5,17,0
50,2,18,1,"Mahottari","Male",349159,348645,503,0,2,9,0
50,2,18,2,"Mahottari","Female",357835,355154,2669,1,3,8,0
50,2,19,0,"Sarlahi","Both Sexes",862470,860122,2327,0,1,17,3
50,2,19,1,"Sarlahi","Male",435131,434736,386,0,0,7,2
50,2,19,2,"Sarlahi","Female",427339,425386,1941,0,1,10,1
50,2,20,0,"Rautahat","Both Sexes",813573,811534,2026,0,0,13,0
50,2,20,1,"Rautahat","Male",408403,408084,313,0,0,6,0
50,2,20,2,"Rautahat","Female",405170,403450,1713,0,0,7,0
50,2,21,0,"Bara","Both Sexes",763137,758311,4812,0,1,13,0
50,2,21,1,"Bara","Male",389787,388797,984,0,0,6,0
50,2,21,2,"Bara","Female",373350,369514,3828,0,1,7,0
50,2,22,0,"Parsa","Both Sexes",654471,647847,6601,2,3,18,0
50,2,22,1,"Parsa","Male",338286,336192,2080,1,3,10,0
50,2,22,2,"Parsa","Female",316185,311655,4521,1,0,8,0
50,3,23,0,"Dolakha","Both Sexes",172767,172614,126,20,6,1,0
50,3,23,1,"Dolakha","Male",83720,83592,106,18,4,0,0
50,3,23,2,"Dolakha","Female",89047,89022,20,2,2,1,0
50,3,24,0,"Sindhupalchok","Both Sexes",262624,262258,169,193,0,4,0
50,3,24,1,"Sindhupalchok","Male",129205,129023,113,67,0,2,0
50,3,24,2,"Sindhupalchok","Female",133419,133235,56,126,0,2,0
50,3,25,0,"Rasuwa","Both Sexes",46689,46633,29,22,1,4,0
50,3,25,1,"Rasuwa","Male",24035,24006,15,11,1,2,0
50,3,25,2,"Rasuwa","Female",22654,22627,14,11,0,2,0
50,3,26,0,"Dhading","Both Sexes",325710,324770,696,237,3,4,0
50,3,26,1,"Dhading","Male",159048,158330,493,219,3,3,0
50,3,26,2,"Dhading","Female",166662,166440,203,18,0,1,0
50,3,27,0,"Nuwakot","Both Sexes",263391,263048,330,6,0,7,0
50,3,27,1,"Nuwakot","Male",128998,128751,239,4,0,4,0
50,3,27,2,"Nuwakot","Female",134393,134297,91,2,0,3,0
50,3,28,0,"Kathmandu","Both Sexes",2041587,2009339,30502,583,294,716,153
50,3,28,1,"Kathmandu","Male",1035726,1014109,20738,260,174,356,89
50,3,28,2,"Kathmandu","Female",1005861,995230,9764,323,120,360,64
50,3,29,0,"Bhaktapur","Both Sexes",432132,430229,1859,11,2,31,0
50,3,29,1,"Bhaktapur","Male",218418,217016,1375,9,1,17,0
50,3,29,2,"Bhaktapur","Female",213714,213213,484,2,1,14,0
50,3,30,0,"Lalitpur","Both Sexes",551667,545861,4822,336,86,562,0
50,3,30,1,"Lalitpur","Male",277131,273303,3332,174,47,275,0
50,3,30,2,"Lalitpur","Female",274536,272558,1490,162,39,287,0
50,3,31,0,"Kavrepalanchok","Both Sexes",364039,363268,750,1,0,20,0
50,3,31,1,"Kavrepalanchok","Male",178909,178352,547,0,0,10,0
50,3,31,2,"Kavrepalanchok","Female",185130,184916,203,1,0,10,0
50,3,32,0,"Ramechhap","Both Sexes",170302,170255,40,0,0,7,0
50,3,32,1,"Ramechhap","Male",80824,80791,31,0,0,2,0
50,3,32,2,"Ramechhap","Female",89478,89464,9,0,0,5,0
