area,prov,dist,sex,area_name,sexname,rowtotal,a_nevrmarried,b_married,c_widow,d_divorced,e_separated
10,0,0,0,"Nepal","Both Sexes",23958868,7935998,14809294,1081155,37139,95282
10,0,0,1,"Nepal","Male",11519621,4402962,6810042,255008,15852,35757
10,0,0,2,"Nepal","Female",12439247,3533036,7999252,826147,21287,59525
21,0,0,0,"Urban Munipalities","Both Sexes",15975610,5344372,9841352,698423,26474,64989
21,0,0,1,"Urban Munipalities","Male",7695786,2978357,4530128,154381,10496,22424
21,0,0,2,"Urban Munipalities","Female",8279824,2366015,5311224,544042,15978,42565
22,0,0,0,"Rural Municipalities","Both Sexes",7983258,2591626,4967942,382732,10665,30293
22,0,0,1,"Rural Municipalities","Male",3823835,1424605,2279914,100627,5356,13333
22,0,0,2,"Rural Municipalities","Female",4159423,1167021,2688028,282105,5309,16960
31,0,0,0,"Mountain","Both Sexes",1440543,484885,879104,69280,1761,5513
31,0,0,1,"Mountain","Male",703149,259709,421487,18717,904,2332
31,0,0,2,"Mountain","Female",737394,225176,457617,50563,857,3181
32,0,0,0,"Hill","Both Sexes",9875921,3280943,6067079,460980,19389,47530
32,0,0,1,"Hill","Male",4729532,1805093,2799195,99109,8300,17835
32,0,0,2,"Hill","Female",5146389,1475850,3267884,361871,11089,29695
33,0,0,0,"Tarai","Both Sexes",12642404,4170170,7863111,550895,15989,42239
33,0,0,1,"Tarai","Male",6086940,2338160,3589360,137182,6648,15590
33,0,0,2,"Tarai","Female",6555464,1832010,4273751,413713,9341,26649
40,1,0,0,"Province-1","Both Sexes",4127094,1332865,2559222,198002,9205,27800
40,1,0,1,"Province-1","Male",1987135,739667,1185233,47326,4186,10723
40,1,0,2,"Province-1","Female",2139959,593198,1373989,150676,5019,17077
40,2,0,0,"Madhesh","Both Sexes",4770013,1594834,2982140,185161,2146,5732
40,2,0,1,"Madhesh","Male",2355108,928084,1370632,53166,960,2266
40,2,0,2,"Madhesh","Female",2414905,666750,1611508,131995,1186,3466
40,3,0,0,"Bagmati","Both Sexes",5260691,1768612,3234988,221440,10559,25092
40,3,0,1,"Bagmati","Male",2595088,984080,1548278,49615,4235,8880
40,3,0,2,"Bagmati","Female",2665603,784532,1686710,171825,6324,16212
40,4,0,0,"Gandaki","Both Sexes",2095474,649075,1310977,116702,5299,13421
40,4,0,1,"Gandaki","Male",973399,363278,580755,22135,2214,5017
40,4,0,2,"Gandaki","Female",1122075,285797,730222,94567,3085,8404
40,5,0,0,"Lumbini","Both Sexes",4184299,1376947,2585881,199550,6765,15156
40,5,0,1,"Lumbini","Male",1963780,747718,1157484,49585,2950,6043
40,5,0,2,"Lumbini","Female",2220519,629229,1428397,149965,3815,9113
40,6,0,0,"Karnali","Both Sexes",1337893,455099,823344,53547,1921,3982
40,6,0,1,"Karnali","Male",641858,243297,383562,12866,763,1370
40,6,0,2,"Karnali","Female",696035,211802,439782,40681,1158,2612
40,7,0,0,"Sudur Paschim","Both Sexes",2183404,758566,1312742,106753,1244,4099
40,7,0,1,"Sudur Paschim","Male",1003253,396838,584098,20315,544,1458
40,7,0,2,"Sudur Paschim","Female",1180151,361728,728644,86438,700,2641
50,1,1,0,"Taplejung","Both Sexes",98654,34847,59195,3905,171,536
50,1,1,1,"Taplejung","Male",49590,19334,28576,1327,97,256
50,1,1,2,"Taplejung","Female",49064,15513,30619,2578,74,280
50,1,2,0,"Sankhuwasabha","Both Sexes",130866,42534,80826,6102,277,1127
50,1,2,1,"Sankhuwasabha","Male",65497,23910,39305,1641,162,479
50,1,2,2,"Sankhuwasabha","Female",65369,18624,41521,4461,115,648
50,1,3,0,"Solukhumbu","Both Sexes",87163,31157,51423,3992,114,477
50,1,3,1,"Solukhumbu","Male",43621,17349,24827,1199,55,191
50,1,3,2,"Solukhumbu","Female",43542,13808,26596,2793,59,286
50,1,4,0,"Okhaldhunga","Both Sexes",118136,39001,73027,5469,162,477
50,1,4,1,"Okhaldhunga","Male",57265,21375,34250,1373,98,169
50,1,4,2,"Okhaldhunga","Female",60871,17626,38777,4096,64,308
50,1,5,0,"Khotang","Both Sexes",144328,49856,86946,6441,197,888
50,1,5,1,"Khotang","Male",70847,27556,40926,1893,105,367
50,1,5,2,"Khotang","Female",73481,22300,46020,4548,92,521
50,1,6,0,"Bhojpur","Both Sexes",131255,43202,80314,6447,306,986
50,1,6,1,"Bhojpur","Male",64697,24072,38136,1842,179,468
50,1,6,2,"Bhojpur","Female",66558,19130,42178,4605,127,518
50,1,7,0,"Dhankuta","Both Sexes",127067,39358,79579,6772,329,1029
50,1,7,1,"Dhankuta","Male",61717,21679,37408,1934,196,500
50,1,7,2,"Dhankuta","Female",65350,17679,42171,4838,133,529
50,1,8,0,"Terhathum","Both Sexes",73855,23349,46214,3568,163,561
50,1,8,1,"Terhathum","Male",35960,13018,21582,1002,86,272
50,1,8,2,"Terhathum","Female",37895,10331,24632,2566,77,289
50,1,9,0,"Panchthar","Both Sexes",142625,46450,88606,6336,337,896
50,1,9,1,"Panchthar","Male",70558,26082,41676,2128,192,480
50,1,9,2,"Panchthar","Female",72067,20368,46930,4208,145,416
50,1,10,0,"Ilam","Both Sexes",240178,74600,152959,10142,555,1922
50,1,10,1,"Ilam","Male",119208,41865,72732,3264,339,1008
50,1,10,2,"Ilam","Female",120970,32735,80227,6878,216,914
50,1,11,0,"Jhapa","Both Sexes",836742,265802,516869,44212,2634,7225
50,1,11,1,"Jhapa","Male",394736,145907,236030,9049,1174,2576
50,1,11,2,"Jhapa","Female",442006,119895,280839,35163,1460,4649
50,1,12,0,"Morang","Both Sexes",956641,303532,597261,48039,1916,5893
50,1,12,1,"Morang","Male",458788,169836,275890,10280,734,2048
50,1,12,2,"Morang","Female",497853,133696,321371,37759,1182,3845
50,1,13,0,"Sunsari","Both Sexes",759423,246159,472714,34624,1602,4324
50,1,13,1,"Sunsari","Male",362277,137075,215744,7546,571,1341
50,1,13,2,"Sunsari","Female",397146,109084,256970,27078,1031,2983
50,1,14,0,"Udayapur","Both Sexes",280161,93018,173289,11953,442,1459
50,1,14,1,"Udayapur","Male",132374,50609,78151,2848,198,568
50,1,14,2,"Udayapur","Female",147787,42409,95138,9105,244,891
