area,prov,dist,sex,area_name,sexname,rowtotal,a_earlyedu,b_primary,c_lowrsecndry,d_upprsecndry,e_slc,f_inter,g_graduat,h_pgraduat,i_other,j_nolevel,k_notstd
10,0,0,0,"Nepal","Both Sexes",20408124,732736,6011086,4193366,3034592,1932977,2617040,909534,452753,17761,357592,148687
10,0,0,1,"Nepal","Male",10845300,400675,3197640,2243562,1625952,1045444,1339749,505449,288637,7332,125330,65530
10,0,0,2,"Nepal","Female",9562824,332061,2813446,1949804,1408640,887533,1277291,404085,164116,10429,232262,83157
21,0,0,0,"Urban Munipalities","Both Sexes",13935833,501427,3743843,2708509,2038590,1456011,1998752,777451,390251,12823,215278,92898
21,0,0,1,"Urban Munipalities","Male",7376607,276010,1980096,1443814,1081495,784877,1016722,427503,244889,5440,75039,40722
21,0,0,2,"Urban Munipalities","Female",6559226,225417,1763747,1264695,957095,671134,982030,349948,145362,7383,140239,52176
22,0,0,0,"Rural Municipalities","Both Sexes",6472291,231309,2267243,1484857,996002,476966,618288,132083,62502,4938,142314,55789
22,0,0,1,"Rural Municipalities","Male",3468693,124665,1217544,799748,544457,260567,323027,77946,43748,1892,50291,24808
22,0,0,2,"Rural Municipalities","Female",3003598,106644,1049699,685109,451545,216399,295261,54137,18754,3046,92023,30981
31,0,0,0,"Mountain","Both Sexes",1180129,37302,398073,255522,176085,89511,138104,30508,15913,906,27978,10227
31,0,0,1,"Mountain","Male",644505,19719,215281,140054,98700,49757,74965,18237,11367,404,11006,5015
31,0,0,2,"Mountain","Female",535624,17583,182792,115468,77385,39754,63139,12271,4546,502,16972,5212
32,0,0,0,"Hill","Both Sexes",8799069,245648,2416286,1718578,1203341,907252,1274812,505421,268052,9136,176903,73640
32,0,0,1,"Hill","Male",4617924,133251,1285386,907212,633639,489693,637938,270291,163899,3854,61353,31408
32,0,0,2,"Hill","Female",4181145,112397,1130900,811366,569702,417559,636874,235130,104153,5282,115550,42232
33,0,0,0,"Tarai","Both Sexes",10428926,449786,3196727,2219266,1655166,936214,1204124,373605,168788,7719,152711,64820
33,0,0,1,"Tarai","Male",5582871,247705,1696973,1196296,893613,505994,626846,216921,113371,3074,52971,29107
33,0,0,2,"Tarai","Female",4846055,202081,1499754,1022970,761553,430220,577278,156684,55417,4645,99740,35713
40,1,0,0,"Province-1","Both Sexes",3639547,120633,1051002,752545,622331,409555,435247,122818,53304,2583,51905,17624
40,1,0,1,"Province-1","Male",1907614,64658,560429,400260,322513,211981,213446,68597,35022,1196,21017,8495
40,1,0,2,"Province-1","Female",1731933,55975,490573,352285,299818,197574,221801,54221,18282,1387,30888,9129
40,2,0,0,"Madhesh","Both Sexes",3485140,173806,1193468,761818,550926,262658,343322,112864,50285,1111,21760,13122
40,2,0,1,"Madhesh","Male",1976990,97402,637736,426183,324311,156019,203084,76641,38133,573,10029,6879
40,2,0,2,"Madhesh","Female",1508150,76404,555732,335635,226615,106639,140238,36223,12152,538,11731,6243
40,3,0,0,"Bagmati","Both Sexes",4674293,127601,1117810,796854,536640,544315,820056,396058,212214,6531,90003,26211
40,3,0,1,"Bagmati","Male",2497503,69944,605159,432308,286768,297638,417007,212348,126336,2972,34540,12483
40,3,0,2,"Bagmati","Female",2176790,57657,512651,364546,249872,246677,403049,183710,85878,3559,55463,13728
40,4,0,0,"Gandaki","Both Sexes",1885154,54358,502274,388666,282289,198513,273632,76504,38055,1962,38767,30134
40,4,0,1,"Gandaki","Male",962648,29675,262473,196619,147054,108089,131642,38180,23817,665,12413,12021
40,4,0,2,"Gandaki","Female",922506,24683,239801,192047,135235,90424,141990,38324,14238,1297,26354,18113
40,5,0,0,"Lumbini","Both Sexes",3674231,147422,1180196,816798,551946,297051,393523,113456,52264,3570,84510,33495
40,5,0,1,"Lumbini","Male",1901867,80161,620902,429743,288630,155953,192805,59484,33434,1227,25816,13712
40,5,0,2,"Lumbini","Female",1772364,67261,559294,387055,263316,141098,200718,53972,18830,2343,58694,19783
40,6,0,0,"Karnali","Both Sexes",1163317,35842,373139,261146,183406,92766,140011,30633,13291,518,20935,11630
40,6,0,1,"Karnali","Male",614971,19224,197399,138906,96215,49479,73750,18159,9416,211,7026,5186
40,6,0,2,"Karnali","Female",548346,16618,175740,122240,87191,43287,66261,12474,3875,307,13909,6444
40,7,0,0,"Sudur Paschim","Both Sexes",1886442,73074,593197,415539,307054,128119,211249,57201,33340,1486,49712,16471
40,7,0,1,"Sudur Paschim","Male",983707,39611,313542,219543,160461,66285,108015,32040,22479,488,14489,6754
40,7,0,2,"Sudur Paschim","Female",902735,33463,279655,195996,146593,61834,103234,25161,10861,998,35223,9717
50,1,1,0,"Taplejung","Both Sexes",90666,1851,28761,20779,16800,8324,9001,2252,1014,50,1295,539
50,1,1,1,"Taplejung","Male",48935,1014,15722,11268,9179,4442,4487,1230,697,26,576,294
50,1,1,2,"Taplejung","Female",41731,837,13039,9511,7621,3882,4514,1022,317,24,719,245
50,1,2,0,"Sankhuwasabha","Both Sexes",115631,3205,40463,27325,18004,9939,10359,2530,1388,119,1613,686
50,1,2,1,"Sankhuwasabha","Male",63142,1706,22110,14672,10121,5423,5531,1468,1001,52,694,364
50,1,2,2,"Sankhuwasabha","Female",52489,1499,18353,12653,7883,4516,4828,1062,387,67,919,322
50,1,3,0,"Solukhumbu","Both Sexes",74382,1977,26138,15716,10057,5212,9131,2053,1187,33,2512,366
50,1,3,1,"Solukhumbu","Male",40887,992,14704,8651,5698,2911,4655,1177,755,22,1126,196
50,1,3,2,"Solukhumbu","Female",33495,985,11434,7065,4359,2301,4476,876,432,11,1386,170
50,1,4,0,"Okhaldhunga","Both Sexes",95706,1841,31559,20183,15019,7355,12164,2453,1222,24,3250,636
