area,prov,dist,sex,area_name,sexname,rowtotal,a_humnty,b_mgm,c_edu,d_science,e_medicine,f_enginring,g_law,h_agri,i_forstry,j_vetnry,k_computr,l_others,m_notstd
10,0,0,0,"Nepal","Total",3979327,458363,1397689,1192229,284589,173160,119679,29869,25918,12944,9323,45490,70940,159134
10,0,0,1,"Nepal","Male",2133835,245259,787691,525384,188508,69715,102112,20945,15038,7859,6626,34507,42478,87713
10,0,0,2,"Nepal","Female",1845492,213104,609998,666845,96081,103445,17567,8924,10880,5085,2697,10983,28462,71421
21,0,0,0,"Urban Munipalities","Total",3166454,383031,1211153,805628,246704,146648,103185,26811,19012,9540,6597,40397,57875,109873
21,0,0,1,"Urban Munipalities","Male",1689114,200322,678748,339374,160658,56563,87465,18697,11124,5848,4672,30729,34471,60443
21,0,0,2,"Urban Munipalities","Female",1477340,182709,532405,466254,86046,90085,15720,8114,7888,3692,1925,9668,23404,49430
22,0,0,0,"Rural Municipalities","Total",812873,75332,186536,386601,37885,26512,16494,3058,6906,3404,2726,5093,13065,49261
22,0,0,1,"Rural Municipalities","Male",444721,44937,108943,186010,27850,13152,14647,2248,3914,2011,1954,3778,8007,27270
22,0,0,2,"Rural Municipalities","Female",368152,30395,77593,200591,10035,13360,1847,810,2992,1393,772,1315,5058,21991
31,0,0,0,"Mountain","Total",184525,17567,31392,98495,6063,6811,4674,808,2634,907,891,1265,2787,10231
31,0,0,1,"Mountain","Male",104569,10866,18300,52351,4484,2983,4020,583,1403,544,577,892,1765,5801
31,0,0,2,"Mountain","Female",79956,6701,13092,46144,1579,3828,654,225,1231,363,314,373,1022,4430
32,0,0,0,"Hill","Total",2048285,266816,749880,566337,143418,84095,64496,19027,11593,5363,3960,28312,35443,69545
32,0,0,1,"Hill","Male",1072128,137128,414253,243913,90932,28651,53360,12934,6372,3124,2666,21470,20474,36851
32,0,0,2,"Hill","Female",976157,129688,335627,322424,52486,55444,11136,6093,5221,2239,1294,6842,14969,32694
33,0,0,0,"Tarai","Total",1746517,173980,616417,527397,135108,82254,50509,10034,11691,6674,4472,15913,32710,79358
33,0,0,1,"Tarai","Male",957138,97265,355138,229120,93092,38081,44732,7428,7263,4191,3383,12145,20239,45061
33,0,0,2,"Tarai","Female",789379,76715,261279,298277,42016,44173,5777,2606,4428,2483,1089,3768,12471,34297
40,1,0,0,"Province-1","Total",611369,75133,213612,205597,39031,22399,12807,4230,2807,1940,1282,5190,9761,17580
