area,prov,dist,sex,area_name,sexname,rowtotal,samePalika,othrPalika,othrDist,foreign,notstd
10,0,0,0,"Nepal","Both Sexes",29164578,19821649,3134235,5296851,903735,8108
10,0,0,1,"Nepal","Male",14253551,10967627,782474,2148939,350818,3693
10,0,0,2,"Nepal","Female",14911027,8854022,2351761,3147912,552917,4415
21,0,0,0,"Urban Munipalities","Both Sexes",19296788,11925221,2282190,4483003,600090,6284
21,0,0,1,"Urban Munipalities","Male",9454545,6621206,677093,1904065,249315,2866
21,0,0,2,"Urban Munipalities","Female",9842243,5304015,1605097,2578938,350775,3418
22,0,0,0,"Rural Municipalities","Both Sexes",9867790,7896428,852045,813848,303645,1824
22,0,0,1,"Rural Municipalities","Male",4799006,4346421,105381,244874,101503,827
22,0,0,2,"Rural Municipalities","Female",5068784,3550007,746664,568974,202142,997
31,0,0,0,"Mountain","Both Sexes",1772948,1509088,152739,98929,12046,146
31,0,0,1,"Mountain","Male",874260,804416,29053,32587,8138,66
31,0,0,2,"Mountain","Female",898688,704672,123686,66342,3908,80
32,0,0,0,"Hill","Both Sexes",11757624,7741331,1355136,2427432,228684,5041
32,0,0,1,"Hill","Male",5717247,4111665,413188,1027551,162565,2278
32,0,0,2,"Hill","Female",6040377,3629666,941948,1399881,66119,2763
33,0,0,0,"Tarai","Both Sexes",15634006,10571230,1626360,2770490,663005,2921
33,0,0,1,"Tarai","Male",7662044,6051546,340233,1088801,180115,1349
33,0,0,2,"Tarai","Female",7971962,4519684,1286127,1681689,482890,1572
40,1,0,0,"Province-1","Both Sexes",4961412,3260091,538869,980415,181442,595
40,1,0,1,"Province-1","Male",2417328,1789133,153729,389146,85086,234
40,1,0,2,"Province-1","Female",2544084,1470958,385140,591269,96356,361
40,2,0,0,"Madhesh","Both Sexes",6114600,4688989,706237,476103,243114,157
40,2,0,1,"Madhesh","Male",3065751,2846097,76658,118905,24010,81
40,2,0,2,"Madhesh","Female",3048849,1842892,629579,357198,219104,76
40,3,0,0,"Bagmati","Both Sexes",6116866,3341464,783445,1881082,110705,170
40,3,0,1,"Bagmati","Male",3048684,1825173,298148,852612,72664,87
40,3,0,2,"Bagmati","Female",3068182,1516291,485297,1028470,38041,83
40,4,0,0,"Gandaki","Both Sexes",2466427,1576442,303757,508013,72621,5594
40,4,0,1,"Gandaki","Male",1170833,835492,81631,200682,50489,2539
40,4,0,2,"Gandaki","Female",1295594,740950,222126,307331,22132,3055
40,5,0,0,"Lumbini","Both Sexes",5122078,3593973,447653,856608,222748,1096
40,5,0,1,"Lumbini","Male",2454408,1941683,95613,344769,71827,516
40,5,0,2,"Lumbini","Female",2667670,1652290,352040,511839,150921,580
40,6,0,0,"Karnali","Both Sexes",1688412,1414313,106572,146581,20630,316
40,6,0,1,"Karnali","Male",823761,723580,24175,59959,15887,160
40,6,0,2,"Karnali","Female",864651,690733,82397,86622,4743,156
40,7,0,0,"Sudur Paschim","Both Sexes",2694783,1946377,247702,448049,52475,180
40,7,0,1,"Sudur Paschim","Male",1272786,1006469,52520,182866,30855,76
40,7,0,2,"Sudur Paschim","Female",1421997,939908,195182,265183,21620,104
50,1,1,0,"Taplejung","Both Sexes",120590,96607,16191,6815,968,9
50,1,1,1,"Taplejung","Male",60773,54407,3839,1883,643,1
50,1,1,2,"Taplejung","Female",59817,42200,12352,4932,325,8
50,1,2,0,"Sankhuwasabha","Both Sexes",158041,122013,19426,13706,2889,7
50,1,2,1,"Sankhuwasabha","Male",79579,67282,5115,4785,2393,4
50,1,2,2,"Sankhuwasabha","Female",78462,54731,14311,8921,496,3
50,1,3,0,"Solukhumbu","Both Sexes",104851,90061,8522,5961,302,5
50,1,3,1,"Solukhumbu","Male",52747,47898,2635,2013,200,1
50,1,3,2,"Solukhumbu","Female",52104,42163,5887,3948,102,4
50,1,4,0,"Okhaldhunga","Both Sexes",139552,121485,10823,6878,366,0
50,1,4,1,"Okhaldhunga","Male",68080,65097,1418,1320,245,0
50,1,4,2,"Okhaldhunga","Female",71472,56388,9405,5558,121,0
50,1,5,0,"Khotang","Both Sexes",175298,150649,14102,9332,1214,1
50,1,5,1,"Khotang","Male",86637,81198,1734,2648,1057,0
50,1,5,2,"Khotang","Female",88661,69451,12368,6684,157,1
50,1,6,0,"Bhojpur","Both Sexes",157923,130070,13400,12432,2018,3
50,1,6,1,"Bhojpur","Male",78211,70381,2498,3668,1662,2
50,1,6,2,"Bhojpur","Female",79712,59689,10902,8764,356,1
50,1,7,0,"Dhankuta","Both Sexes",150599,107020,15072,22706,5797,4
50,1,7,1,"Dhankuta","Male",73824,58083,3366,7135,5239,1
50,1,7,2,"Dhankuta","Female",76775,48937,11706,15571,558,3
50,1,8,0,"Terhathum","Both Sexes",88731,62924,9268,12956,3568,15
50,1,8,1,"Terhathum","Male",43581,36285,1364,2628,3300,4
50,1,8,2,"Terhathum","Female",45150,26639,7904,10328,268,11
50,1,9,0,"Panchthar","Both Sexes",172400,133330,19594,16900,2529,47
50,1,9,1,"Panchthar","Male",85683,76467,3199,4085,1921,11
50,1,9,2,"Panchthar","Female",86717,56863,16395,12815,608,36
50,1,10,0,"Ilam","Both Sexes",279534,200665,34964,37702,6110,93
50,1,10,1,"Ilam","Male",139431,115620,8107,12313,3370,21
50,1,10,2,"Ilam","Female",140103,85045,26857,25389,2740,72
50,1,11,0,"Jhapa","Both Sexes",998054,532179,141721,260981,62929,244
50,1,11,1,"Jhapa","Male",478509,286539,49994,110848,31022,106
50,1,11,2,"Jhapa","Female",519545,245640,91727,150133,31907,138
50,1,12,0,"Morang","Both Sexes",1148156,704079,113873,275849,54269,86
50,1,12,1,"Morang","Male",557512,388161,34323,114959,20028,41
50,1,12,2,"Morang","Female",590644,315918,79550,160890,34241,45
50,1,13,0,"Sunsari","Both Sexes",926962,571819,89464,230957,34651,71
50,1,13,1,"Sunsari","Male",449023,318686,24977,93850,11474,36
50,1,13,2,"Sunsari","Female",477939,253133,64487,137107,23177,35
50,1,14,0,"Udayapur","Both Sexes",340721,237190,32449,67240,3832,10
50,1,14,1,"Udayapur","Male",163738,123029,11160,27011,2532,6
50,1,14,2,"Udayapur","Female",176983,114161,21289,40229,1300,4
50,2,15,0,"Saptari","Both Sexes",706255,533183,109013,38665,25383,11
50,2,15,1,"Saptari","Male",351368,332123,8506,8751,1987,1
50,2,15,2,"Saptari","Female",354887,201060,100507,29914,23396,10
50,2,16,0,"Siraha","Both Sexes",739953,571294,99530,46535,22579,15
50,2,16,1,"Siraha","Male",363724,347362,8322,6133,1901,6
50,2,16,2,"Siraha","Female",376229,223932,91208,40402,20678,9
50,2,17,0,"Dhanusa","Both Sexes",867747,630956,118158,85100,33528,5
50,2,17,1,"Dhanusa","Male",429893,390604,13290,21966,4031,2
50,2,17,2,"Dhanusa","Female",437854,240352,104868,63134,29497,3
50,2,18,0,"Mahottari","Both Sexes",706994,546343,72193,57566,30883,9
50,2,18,1,"Mahottari","Male",349159,330612,5584,10189,2772,2
50,2,18,2,"Mahottari","Female",357835,215731,66609,47377,28111,7
50,2,19,0,"Sarlahi","Both Sexes",862470,660059,96056,78797,27486,72
50,2,19,1,"Sarlahi","Male",435131,393388,14842,24280,2574,47
50,2,19,2,"Sarlahi","Female",427339,266671,81214,54517,24912,25
50,2,20,0,"Rautahat","Both Sexes",813573,651729,84157,50770,26898,19
