area,prov,dist,sex,area_name,sexname,rowtotal,a_Below1,b_01to04,c_05to09,d_10to24,e_25to49,f_50plus,g_notstd
10,0,0,0,"Nepal","Both Sexes",9334821,323584,2084273,1713915,2971477,1715195,370931,155446
10,0,0,1,"Nepal","Male",3282231,166630,905250,632944,956329,471604,88233,61241
10,0,0,2,"Nepal","Female",6052590,156954,1179023,1080971,2015148,1243591,282698,94205
21,0,0,0,"Urban Munipalities","Both Sexes",7365283,267163,1720617,1414514,2355621,1237097,247813,122458
21,0,0,1,"Urban Munipalities","Male",2830473,138739,775927,560624,842375,391791,69309,51708
21,0,0,2,"Urban Munipalities","Female",4534810,128424,944690,853890,1513246,845306,178504,70750
22,0,0,0,"Rural Municipalities","Both Sexes",1969538,56421,363656,299401,615856,478098,123118,32988
22,0,0,1,"Rural Municipalities","Male",451758,27891,129323,72320,113954,79813,18924,9533
22,0,0,2,"Rural Municipalities","Female",1517780,28530,234333,227081,501902,398285,104194,23455
31,0,0,0,"Mountain","Both Sexes",263714,10712,65527,44133,73249,52417,13965,3711
31,0,0,1,"Mountain","Male",69778,6704,29599,12671,14340,4726,700,1038
31,0,0,2,"Mountain","Female",193936,4008,35928,31462,58909,47691,13265,2673
32,0,0,0,"Hill","Both Sexes",4011252,184152,1074003,804900,1166688,579056,122575,79878
32,0,0,1,"Hill","Male",1603304,100673,514797,339671,438249,157368,20951,31595
32,0,0,2,"Hill","Female",2407948,83479,559206,465229,728439,421688,101624,48283
33,0,0,0,"Tarai","Both Sexes",5059855,128720,944743,864882,1731540,1083722,234391,71857
33,0,0,1,"Tarai","Male",1609149,59253,360854,280602,503740,309510,66582,28608
33,0,0,2,"Tarai","Female",3450706,69467,583889,584280,1227800,774212,167809,43249
40,1,0,0,"Province-1","Both Sexes",1700726,52401,345674,314278,554260,355002,70695,8416
40,1,0,1,"Province-1","Male",627961,25694,147230,113628,189127,122109,26145,4028
40,1,0,2,"Province-1","Female",1072765,26707,198444,200650,365133,232893,44550,4388
40,2,0,0,"Madhesh","Both Sexes",1425454,18194,202138,198839,527768,372196,96137,10182
40,2,0,1,"Madhesh","Male",219573,6050,47494,32440,75026,44577,11167,2819
40,2,0,2,"Madhesh","Female",1205881,12144,154644,166399,452742,327619,84970,7363
40,3,0,0,"Bagmati","Both Sexes",2775232,134131,782373,589894,818952,354686,70890,24306
40,3,0,1,"Bagmati","Male",1223424,72123,384180,268045,345707,121873,19886,11610
40,3,0,2,"Bagmati","Female",1551808,62008,398193,321849,473245,232813,51004,12696
40,4,0,0,"Gandaki","Both Sexes",884391,33890,197148,168467,257360,143907,31863,51756
40,4,0,1,"Gandaki","Male",332802,18661,91844,66991,91354,39147,5442,19363
40,4,0,2,"Gandaki","Female",551589,15229,105304,101476,166006,104760,26421,32393
40,5,0,0,"Lumbini","Both Sexes",1527009,48054,323597,271650,491237,292926,58971,40574
