area,prov,dist,sex,area_name,sexname,rowtotal,a_work,b_trade,c_study,d_marriage,e_dependnt,f_calamity,g_agri,h_regurn,i_others,j_notstd
10,0,0,0,"Nepal","Both Sexes",9334821,1415008,260029,731723,3567559,1824715,61020,366861,380236,617987,109683
10,0,0,1,"Nepal","Male",3282231,1004172,166942,407557,43952,795461,32605,209931,269993,303942,47676
10,0,0,2,"Nepal","Female",6052590,410836,93087,324166,3523607,1029254,28415,156930,110243,314045,62007
21,0,0,0,"Urban Munipalities","Both Sexes",7365283,1272636,232177,689971,2331552,1622383,49794,270452,262319,542455,91544
21,0,0,1,"Urban Munipalities","Male",2830473,900799,150040,385190,29965,699061,26609,154061,177929,265528,41291
21,0,0,2,"Urban Munipalities","Female",4534810,371837,82137,304781,2301587,923322,23185,116391,84390,276927,50253
22,0,0,0,"Rural Municipalities","Both Sexes",1969538,142372,27852,41752,1236007,202332,11226,96409,117917,75532,18139
22,0,0,1,"Rural Municipalities","Male",451758,103373,16902,22367,13987,96400,5996,55870,92064,38414,6385
22,0,0,2,"Rural Municipalities","Female",1517780,38999,10950,19385,1222020,105932,5230,40539,25853,37118,11754
31,0,0,0,"Mountain","Both Sexes",263714,37957,8799,14644,157069,20106,1256,3355,11573,6814,2141
31,0,0,1,"Mountain","Male",69778,30171,5268,7917,2049,9514,652,1946,8100,3466,695
31,0,0,2,"Mountain","Female",193936,7786,3531,6727,155020,10592,604,1409,3473,3348,1446
32,0,0,0,"Hill","Both Sexes",4011252,796396,133990,454605,1241095,776677,22043,67311,188627,271812,58696
32,0,0,1,"Hill","Male",1603304,565528,85461,256005,14526,331448,11690,40033,139513,133418,25682
32,0,0,2,"Hill","Female",2407948,230868,48529,198600,1226569,445229,10353,27278,49114,138394,33014
33,0,0,0,"Tarai","Both Sexes",5059855,580655,117240,262474,2169395,1027932,37721,296195,180036,339361,48846
33,0,0,1,"Tarai","Male",1609149,408473,76213,143635,27377,454499,20263,167952,122380,167058,21299
33,0,0,2,"Tarai","Female",3450706,172182,41027,118839,2142018,573433,17458,128243,57656,172303,27547
40,1,0,0,"Province-1","Both Sexes",1700726,236670,47418,92103,602289,366951,9914,127102,87451,125331,5497
40,1,0,1,"Province-1","Male",627961,167645,30299,48311,9019,161401,5528,75476,65012,62399,2871
40,1,0,2,"Province-1","Female",1072765,69025,17119,43792,593270,205550,4386,51626,22439,62932,2626
40,2,0,0,"Madhesh","Both Sexes",1425454,84301,16034,31829,1075290,119474,6515,28947,19643,38288,5133
40,2,0,1,"Madhesh","Male",219573,63359,11023,19577,11507,56168,3853,17682,14790,19642,1972
40,2,0,2,"Madhesh","Female",1205881,20942,5011,12252,1063783,63306,2662,11265,4853,18646,3161
40,3,0,0,"Bagmati","Both Sexes",2775232,653402,94235,364296,625287,653750,22067,44479,74502,221709,21505
40,3,0,1,"Bagmati","Male",1223424,460587,61865,209804,7006,275927,11618,25561,50086,110309,10661
40,3,0,2,"Bagmati","Female",1551808,192815,32370,154492,618281,377823,10449,18918,24416,111400,10844
40,4,0,0,"Gandaki","Both Sexes",884391,145253,32461,81205,287296,169960,4125,18748,56046,53345,35952
40,4,0,1,"Gandaki","Male",332802,102281,19511,42089,3594,72492,2139,10676,40851,24464,14705
40,4,0,2,"Gandaki","Female",551589,42972,12950,39116,283702,97468,1986,8072,15195,28881,21247
40,5,0,0,"Lumbini","Both Sexes",1527009,178976,44011,93657,598396,309531,7936,74417,78420,113718,27947
40,5,0,1,"Lumbini","Male",512209,124694,28091,48598,7962,137426,4168,40877,53874,54694,11825
40,5,0,2,"Lumbini","Female",1014800,54282,15920,45059,590434,172105,3768,33540,24546,59024,16122
40,6,0,0,"Karnali","Both Sexes",273783,36147,11092,23279,108617,39487,1002,9531,22789,14556,7283
40,6,0,1,"Karnali","Male",100021,26976,6487,12681,1748,18538,530,5507,17229,7542,2783
40,6,0,2,"Karnali","Female",173762,9171,4605,10598,106869,20949,472,4024,5560,7014,4500
40,7,0,0,"Sudur Paschim","Both Sexes",748226,80259,14778,45354,270384,165562,9461,63637,41385,51040,6366
40,7,0,1,"Sudur Paschim","Male",266241,58630,9666,26497,3116,73509,4769,34152,28151,24892,2859
40,7,0,2,"Sudur Paschim","Female",481985,21629,5112,18857,267268,92053,4692,29485,13234,26148,3507
50,1,1,0,"Taplejung","Both Sexes",23974,3144,818,1433,13781,1975,224,720,736,1088,55
50,1,1,1,"Taplejung","Male",6365,2318,458,702,197,1002,121,447,540,557,23
50,1,1,2,"Taplejung","Female",17609,826,360,731,13584,973,103,273,196,531,32
50,1,2,0,"Sankhuwasabha","Both Sexes",36021,6374,1039,2397,17438,4063,296,1472,1520,1301,121
50,1,2,1,"Sankhuwasabha","Male",12293,5329,651,1220,224,2002,152,885,1081,687,62
50,1,2,2,"Sankhuwasabha","Female",23728,1045,388,1177,17214,2061,144,587,439,614,59
50,1,3,0,"Solukhumbu","Both Sexes",14785,2843,873,1297,7323,1249,43,187,430,453,87
50,1,3,1,"Solukhumbu","Male",4848,2149,501,715,144,597,29,113,291,255,54
50,1,3,2,"Solukhumbu","Female",9937,694,372,582,7179,652,14,74,139,198,33
50,1,4,0,"Okhaldhunga","Both Sexes",18067,1525,405,461,13458,840,47,315,486,508,22
50,1,4,1,"Okhaldhunga","Male",2983,1094,238,244,219,355,27,197,330,271,8
50,1,4,2,"Okhaldhunga","Female",15084,431,167,217,13239,485,20,118,156,237,14
50,1,5,0,"Khotang","Both Sexes",24648,2536,494,951,17123,1116,58,276,1485,542,67
50,1,5,1,"Khotang","Male",5439,2006,304,507,264,533,32,189,1226,340,38
50,1,5,2,"Khotang","Female",19209,530,190,444,16859,583,26,87,259,202,29
