area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
10,0,0,0,"Nepal","Both Sexes",903735,770194,3538,35495,76023,10581,1482,2185,1673,166,708,1118,317,255
10,0,0,1,"Nepal","Male",350818,234356,2025,32100,70486,6903,949,1314,943,120,591,671,212,148
10,0,0,2,"Nepal","Female",552917,535838,1513,3395,5537,3678,533,871,730,46,117,447,105,107
21,0,0,0,"Urban Munipalities","Both Sexes",600090,508781,2693,21723,50631,9019,1337,2059,1570,142,612,1082,246,195
21,0,0,1,"Urban Munipalities","Male",249315,172083,1561,19002,46421,5764,841,1227,878,104,509,648,157,120
21,0,0,2,"Urban Munipalities","Female",350775,336698,1132,2721,4210,3255,496,832,692,38,103,434,89,75
22,0,0,0,"Rural Municipalities","Both Sexes",303645,261413,845,13772,25392,1562,145,126,103,24,96,36,71,60
22,0,0,1,"Rural Municipalities","Male",101503,62273,464,13098,24065,1139,108,87,65,16,82,23,55,28
22,0,0,2,"Rural Municipalities","Female",202142,199140,381,674,1327,423,37,39,38,8,14,13,16,32
22,0,0,,"Rural Municipalities","",0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,"Mountain","Both Sexes",12046,8025,136,1417,1913,448,33,17,35,0,15,4,2,1
31,0,0,1,"Mountain","Male",8138,4851,85,1333,1583,231,13,13,20,0,4,3,2,0
31,0,0,2,"Mountain","Female",3908,3174,51,84,330,217,20,4,15,0,11,1,0,1
31,0,0,,"Mountain","",0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,"Hill","Both Sexes",228684,156554,1577,18248,39259,7087,1060,1647,1364,130,498,827,266,167
32,0,0,1,"Hill","Male",162565,100269,995,16500,36491,4601,674,976,767,98,426,479,176,113
32,0,0,2,"Hill","Female",66119,56285,582,1748,2768,2486,386,671,597,32,72,348,90,54
33,0,0,0,"Tarai","Both Sexes",663005,605615,1825,15830,34851,3046,389,521,274,36,195,287,49,87
33,0,0,1,"Tarai","Male",180115,129236,945,14267,32412,2071,262,325,156,22,161,189,34,35
33,0,0,2,"Tarai","Female",482890,476379,880,1563,2439,975,127,196,118,14,34,98,15,52
40,1,0,0,"Province-1","Both Sexes",181442,137455,1375,12715,27468,1550,167,276,161,29,99,91,27,29
40,1,0,1,"Province-1","Male",85086,44995,748,11913,25708,1112,122,185,97,18,90,62,19,17
40,1,0,2,"Province-1","Female",96356,92460,627,802,1760,438,45,91,64,11,9,29,8,12
40,2,0,0,"Madhesh","Both Sexes",243114,236337,181,2213,4196,82,15,20,13,3,26,7,5,16
40,2,0,1,"Madhesh","Male",24010,17639,65,2111,4093,41,10,11,10,0,19,4,2,5
40,2,0,2,"Madhesh","Female",219104,218698,116,102,103,41,5,9,3,3,7,3,3,11
40,3,0,0,"Bagmati","Both Sexes",110705,76040,1013,8158,15359,5387,845,1167,1199,87,360,779,204,107
40,3,0,1,"Bagmati","Male",72664,45917,615,6842,13194,3236,503,673,665,69,286,466,127,71
40,3,0,2,"Bagmati","Female",38041,30123,398,1316,2165,2151,342,494,534,18,74,313,77,36
40,4,0,0,"Gandaki","Both Sexes",72621,49082,453,4209,14877,2517,321,563,185,26,127,163,50,48
40,4,0,1,"Gandaki","Male",50489,29537,323,3743,14148,1764,219,347,105,19,113,98,41,32
40,4,0,2,"Gandaki","Female",22132,19545,130,466,729,753,102,216,80,7,14,65,9,16
40,5,0,0,"Lumbini","Both Sexes",222748,203844,359,5414,11719,859,112,142,69,19,69,70,26,46
40,5,0,1,"Lumbini","Male",71827,54831,162,4836,11053,599,79,87,38,12,57,37,18,18
40,5,0,2,"Lumbini","Female",150921,149013,197,578,666,260,33,55,31,7,12,33,8,28
40,6,0,0,"Karnali","Both Sexes",20630,17620,58,1492,1327,68,7,11,26,1,14,3,2,1
40,6,0,1,"Karnali","Male",15887,13029,43,1446,1267,53,6,6,18,1,14,1,2,1
40,6,0,2,"Karnali","Female",4743,4591,15,46,60,15,1,5,8,0,0,2,0,0
40,7,0,0,"Sudur Paschim","Both Sexes",52475,49816,99,1294,1077,118,15,6,20,1,13,5,3,8
40,7,0,1,"Sudur Paschim","Male",30855,28408,69,1209,1023,98,10,5,10,1,12,3,3,4
40,7,0,2,"Sudur Paschim","Female",21620,21408,30,85,54,20,5,1,10,0,1,2,0,4
50,1,1,0,"Taplejung","Both Sexes",968,611,4,143,165,41,2,2,0,0,0,0,0,0
50,1,1,1,"Taplejung","Male",643,321,2,132,163,24,0,1,0,0,0,0,0,0
50,1,1,2,"Taplejung","Female",325,290,2,11,2,17,2,1,0,0,0,0,0,0
50,1,2,0,"Sankhuwasabha","Both Sexes",2889,2379,16,153,310,26,0,3,1,0,0,0,0,1
50,1,2,1,"Sankhuwasabha","Male",2393,1916,8,148,300,19,0,2,0,0,0,0,0,0
50,1,2,2,"Sankhuwasabha","Female",496,463,8,5,10,7,0,1,1,0,0,0,0,1
50,1,3,0,"Solukhumbu","Both Sexes",302,106,11,39,80,45,8,2,8,0,1,1,1,0
50,1,3,1,"Solukhumbu","Male",200,57,4,35,75,18,4,1,4,0,0,1,1,0
50,1,3,2,"Solukhumbu","Female",102,49,7,4,5,27,4,1,4,0,1,0,0,0
50,1,4,0,"Okhaldhunga","Both Sexes",366,220,1,52,83,5,0,3,0,1,0,1,0,0
50,1,4,1,"Okhaldhunga","Male",245,113,0,52,71,5,0,2,0,1,0,1,0,0
50,1,4,2,"Okhaldhunga","Female",121,107,1,0,12,0,0,1,0,0,0,0,0,0
50,1,5,0,"Khotang","Both Sexes",1214,248,7,270,655,22,1,5,0,2,2,0,1,1
50,1,5,1,"Khotang","Male",1057,138,3,259,631,16,1,3,0,2,2,0,1,1
50,1,5,2,"Khotang","Female",157,110,4,11,24,6,0,2,0,0,0,0,0,0
50,1,6,0,"Bhojpur","Both Sexes",2018,713,12,506,741,28,7,5,4,1,1,0,0,0
50,1,6,1,"Bhojpur","Male",1662,396,8,494,728,22,5,5,3,0,1,0,0,0
50,1,6,2,"Bhojpur","Female",356,317,4,12,13,6,2,0,1,1,0,0,0,0
50,1,7,0,"Dhankuta","Both Sexes",5797,958,30,1745,2959,62,8,10,8,4,12,1,0,0
50,1,7,1,"Dhankuta","Male",5239,547,27,1703,2870,57,7,7,5,4,11,1,0,0
50,1,7,2,"Dhankuta","Female",558,411,3,42,89,5,1,3,3,0,1,0,0,0
50,1,8,0,"Terhathum","Both Sexes",3568,683,19,1034,1740,58,2,5,7,1,9,1,5,4
50,1,8,1,"Terhathum","Male",3300,478,17,1024,1703,48,2,5,6,1,8,0,4,4
50,1,8,2,"Terhathum","Female",268,205,2,10,37,10,0,0,1,0,1,1,1,0
50,1,9,0,"Panchthar","Both Sexes",2529,945,16,564,973,23,1,3,1,1,0,0,0,2
50,1,9,1,"Panchthar","Male",1921,390,8,548,945,23,1,3,0,1,0,0,0,2
50,1,9,2,"Panchthar","Female",608,555,8,16,28,0,0,0,1,0,0,0,0,0
50,1,10,0,"Ilam","Both Sexes",6110,3667,73,819,1473,45,3,13,4,1,11,1,0,0
50,1,10,1,"Ilam","Male",3370,1143,34,768,1361,40,2,8,3,0,11,0,0,0
50,1,10,2,"Ilam","Female",2740,2524,39,51,112,5,1,5,1,1,0,1,0,0
50,1,11,0,"Jhapa","Both Sexes",62929,49703,736,2953,8855,404,57,63,72,8,28,36,3,11
50,1,11,1,"Jhapa","Male",31022,19277,401,2740,8100,313,43,44,44,4,23,23,3,7
50,1,11,2,"Jhapa","Female",31907,30426,335,213,755,91,14,19,28,4,5,13,0,4
50,1,12,0,"Morang","Both Sexes",54269,45333,283,2435,5790,233,49,43,26,7,19,35,8,8
50,1,12,1,"Morang","Male",20028,11929,150,2248,5384,181,39,29,12,3,18,27,5,3
50,1,12,2,"Morang","Female",34241,33404,133,187,406,52,10,14,14,4,1,8,3,5
50,1,13,0,"Sunsari","Both Sexes",34651,29764,129,1324,2707,534,26,115,26,2,10,11,1,2
50,1,13,1,"Sunsari","Male",11474,7340,69,1120,2490,330,15,72,17,2,10,8,1,0
50,1,13,2,"Sunsari","Female",23177,22424,60,204,217,204,11,43,9,0,0,3,0,2
50,1,14,0,"Udayapur","Both Sexes",3832,2125,38,678,937,24,3,4,4,1,6,4,8,0
50,1,14,1,"Udayapur","Male",2532,950,17,642,887,16,3,3,3,0,6,1,4,0
50,1,14,2,"Udayapur","Female",1300,1175,21,36,50,8,0,1,1,1,0,3,4,0
50,2,15,0,"Saptari","Both Sexes",25383,24396,19,406,550,6,0,1,1,0,1,0,1,2
50,2,15,1,"Saptari","Male",1987,1045,6,396,535,3,0,0,1,0,1,0,0,0
50,2,15,2,"Saptari","Female",23396,23351,13,10,15,3,0,1,0,0,0,0,1,2
50,2,16,0,"Siraha","Both Sexes",22579,21945,24,115,478,5,0,4,1,1,2,0,0,4
50,2,16,1,"Siraha","Male",1901,1298,10,108,478,2,0,2,0,0,2,0,0,1
50,2,16,2,"Siraha","Female",20678,20647,14,7,0,3,0,2,1,1,0,0,0,3
50,2,17,0,"Dhanusa","Both Sexes",33528,31853,11,361,1269,9,6,6,0,0,9,0,1,3
50,2,17,1,"Dhanusa","Male",4031,2403,4,353,1249,7,4,4,0,0,5,0,0,2
50,2,17,2,"Dhanusa","Female",29497,29450,7,8,20,2,2,2,0,0,4,0,1,1
50,2,18,0,"Mahottari","Both Sexes",30883,29823,25,305,705,12,0,1,3,1,2,1,1,4
50,2,18,1,"Mahottari","Male",2772,1768,7,289,695,6,0,1,3,0,2,0,1,0
50,2,18,2,"Mahottari","Female",28111,28055,18,16,10,6,0,0,0,1,0,1,0,4
50,2,19,0,"Sarlahi","Both Sexes",27486,26785,19,244,416,9,2,0,4,0,3,2,1,1
50,2,19,1,"Sarlahi","Male",2574,1921,8,233,396,5,2,0,4,0,3,1,0,1
50,2,19,2,"Sarlahi","Female",24912,24864,11,11,20,4,0,0,0,0,0,1,1,0
50,2,20,0,"Rautahat","Both Sexes",26898,26575,16,162,125,12,1,0,0,0,4,2,1,0
50,2,20,1,"Rautahat","Male",1514,1228,2,152,120,6,1,0,0,0,3,1,1,0
50,2,20,2,"Rautahat","Female",25384,25347,14,10,5,6,0,0,0,0,1,1,0,0
50,2,21,0,"Bara","Both Sexes",30726,30217,21,160,305,12,1,3,2,0,2,2,0,1
50,2,21,1,"Bara","Male",3058,2613,8,140,290,2,0,1,1,0,0,2,0,1
50,2,21,2,"Bara","Female",27668,27604,13,20,15,10,1,2,1,0,2,0,0,0
50,2,22,0,"Parsa","Both Sexes",45631,44743,46,460,348,17,5,5,2,1,3,0,0,1
50,2,22,1,"Parsa","Male",6173,5363,20,440,330,10,3,3,1,0,3,0,0,0
50,2,22,2,"Parsa","Female",39458,39380,26,20,18,7,2,2,1,1,0,0,0,1
50,3,23,0,"Dolakha","Both Sexes",2012,1079,47,357,451,54,6,6,9,0,1,1,1,0
50,3,23,1,"Dolakha","Male",1508,680,28,338,402,42,3,6,6,0,1,1,1,0
50,3,23,2,"Dolakha","Female",504,399,19,19,49,12,3,0,3,0,0,0,0,0
50,3,24,0,"Sindhupalchok","Both Sexes",2798,1392,28,484,655,213,8,1,5,0,11,1,0,0
50,3,24,1,"Sindhupalchok","Male",1858,833,20,458,458,79,3,1,3,0,2,1,0,0
50,3,24,2,"Sindhupalchok","Female",940,559,8,26,197,134,5,0,2,0,9,0,0,0
50,3,25,0,"Rasuwa","Both Sexes",461,103,4,142,173,34,3,2,0,0,0,0,0,0
50,3,25,1,"Rasuwa","Male",327,61,2,129,109,24,1,1,0,0,0,0,0,0
50,3,25,2,"Rasuwa","Female",134,42,2,13,64,10,2,1,0,0,0,0,0,0
50,3,26,0,"Dhading","Both Sexes",3002,1589,16,378,721,274,6,2,1,0,2,5,8,0
50,3,26,1,"Dhading","Male",2344,1027,10,360,682,245,4,2,1,0,2,4,7,0
50,3,26,2,"Dhading","Female",658,562,6,18,39,29,2,0,0,0,0,1,1,0
50,3,27,0,"Nuwakot","Both Sexes",1970,944,14,284,656,45,8,1,7,0,3,7,0,1
50,3,27,1,"Nuwakot","Male",1542,612,8,269,605,30,7,1,3,0,3,3,0,1
50,3,27,2,"Nuwakot","Female",428,332,6,15,51,15,1,0,4,0,0,4,0,0
50,3,28,0,"Kathmandu","Both Sexes",49515,37909,532,1987,3903,2587,414,661,674,40,139,417,162,90
50,3,28,1,"Kathmandu","Male",30915,23152,306,1417,3012,1479,241,380,389,27,106,252,96,58
50,3,28,2,"Kathmandu","Female",18600,14757,226,570,891,1108,173,281,285,13,33,165,66,32
50,3,29,0,"Bhaktapur","Both Sexes",4851,2583,44,373,1071,362,87,91,86,24,62,59,8,1
50,3,29,1,"Bhaktapur","Male",3436,1684,30,323,885,231,57,56,47,24,56,36,6,1
50,3,29,2,"Bhaktapur","Female",1415,899,14,50,186,131,30,35,39,0,6,23,2,0
50,3,30,0,"Lalitpur","Both Sexes",9833,5858,132,1003,1077,851,151,248,296,15,53,129,11,9
50,3,30,1,"Lalitpur","Male",6125,3587,74,633,878,464,79,136,149,10,37,65,7,6
50,3,30,2,"Lalitpur","Female",3708,2271,58,370,199,387,72,112,147,5,16,64,4,3
50,3,31,0,"Kavrepalanchok","Both Sexes",3281,1241,36,662,1080,129,23,19,33,4,16,32,3,3
50,3,31,1,"Kavrepalanchok","Male",2661,812,30,642,988,101,17,11,18,4,15,19,2,2
50,3,31,2,"Kavrepalanchok","Female",620,429,6,20,92,28,6,8,15,0,1,13,1,1
50,3,32,0,"Ramechhap","Both Sexes",1023,618,6,190,181,9,2,1,1,0,15,0,0,0
50,3,32,1,"Ramechhap","Male",773,392,2,184,172,6,1,1,0,0,15,0,0,0
50,3,32,2,"Ramechhap","Female",250,226,4,6,9,3,1,0,1,0,0,0,0,0
50,3,33,0,"Sindhuli","Both Sexes",2832,1239,27,631,898,25,1,1,2,0,7,0,1,0
50,3,33,1,"Sindhuli","Male",2225,725,17,608,843,22,1,1,1,0,7,0,0,0
50,3,33,2,"Sindhuli","Female",607,514,10,23,55,3,0,0,1,0,0,0,1,0
50,3,34,0,"Makwanpur","Both Sexes",5793,3612,42,638,1324,106,24,10,15,1,11,8,1,1
50,3,34,1,"Makwanpur","Male",4095,2119,25,588,1234,78,17,6,11,1,10,4,1,1
50,3,34,2,"Makwanpur","Female",1698,1493,17,50,90,28,7,4,4,0,1,4,0,0
50,3,35,0,"Chitawan","Both Sexes",23334,17873,85,1029,3169,698,112,124,70,3,40,120,9,2
50,3,35,1,"Chitawan","Male",14855,10233,63,893,2926,435,72,71,37,3,32,81,7,2
50,3,35,2,"Chitawan","Female",8479,7640,22,136,243,263,40,53,33,0,8,39,2,0
50,4,36,0,"Gorkha","Both Sexes",4761,2932,26,564,1108,65,17,19,6,4,9,4,2,5
50,4,36,1,"Gorkha","Male",3852,2130,16,536,1073,53,8,14,4,3,9,1,2,3
50,4,36,2,"Gorkha","Female",909,802,10,28,35,12,9,5,2,1,0,3,0,2
50,4,37,0,"Manang","Both Sexes",70,12,1,16,17,18,2,1,2,0,1,0,0,0
50,4,37,1,"Manang","Male",53,7,0,16,16,11,1,1,1,0,0,0,0,0
50,4,37,2,"Manang","Female",17,5,1,0,1,7,1,0,1,0,1,0,0,0
50,4,38,0,"Mustang","Both Sexes",85,66,1,2,6,6,4,0,0,0,0,0,0,0
50,4,38,1,"Mustang","Male",65,51,1,1,6,5,1,0,0,0,0,0,0,0
50,4,38,2,"Mustang","Female",20,15,0,1,0,1,3,0,0,0,0,0,0,0
50,4,39,0,"Myagdi","Both Sexes",2809,1380,21,242,1043,79,9,13,9,0,5,5,1,2
50,4,39,1,"Myagdi","Male",2420,1070,17,226,1016,60,8,9,5,0,4,3,1,1
50,4,39,2,"Myagdi","Female",389,310,4,16,27,19,1,4,4,0,1,2,0,1
50,4,40,0,"Kaski","Both Sexes",23377,15891,189,1060,3849,1490,177,404,129,9,55,109,3,12
50,4,40,1,"Kaski","Male",15666,9549,126,848,3576,1005,121,240,72,6,48,65,3,7
50,4,40,2,"Kaski","Female",7711,6342,63,212,273,485,56,164,57,3,7,44,0,5
50,4,41,0,"Lamjung","Both Sexes",1815,1284,16,84,382,31,2,9,3,0,1,2,1,0
50,4,41,1,"Lamjung","Male",1263,776,11,78,364,22,2,6,1,0,1,1,1,0
50,4,41,2,"Lamjung","Female",552,508,5,6,18,9,0,3,2,0,0,1,0,0
50,4,42,0,"Tanahu","Both Sexes",12135,7768,78,611,3399,154,33,46,12,8,11,7,3,5
50,4,42,1,"Tanahu","Male",8731,4647,65,574,3261,100,22,28,11,6,10,4,2,1
50,4,42,2,"Tanahu","Female",3404,3121,13,37,138,54,11,18,1,2,1,3,1,4
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Both Sexes",13643,10162,50,844,2120,341,32,36,7,4,22,16,4,5
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",8449,5401,35,708,1969,247,19,25,4,3,19,11,4,4
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",5194,4761,15,136,151,94,13,11,3,1,3,5,0,1
50,4,44,0,"Syangja","Both Sexes",7246,4756,33,441,1773,139,6,17,13,0,12,8,36,12
50,4,44,1,"Syangja","Male",5384,2990,25,425,1738,127,6,12,6,0,12,5,28,10
50,4,44,2,"Syangja","Female",1862,1766,8,16,35,12,0,5,7,0,0,3,8,2
50,4,45,0,"Parbat","Both Sexes",2908,2121,13,132,560,54,8,5,1,0,6,4,0,4
50,4,45,1,"Parbat","Male",2043,1309,9,127,537,39,7,3,0,0,6,2,0,4
50,4,45,2,"Parbat","Female",865,812,4,5,23,15,1,2,1,0,0,2,0,0
50,4,46,0,"Baglung","Both Sexes",3772,2710,25,213,620,140,31,13,3,1,5,8,0,3
