area,prov,dist,nchild,area_name,childreneverborn,rowtotal,a_15to19,b_20to24,c_25to29,d_30to34,e_35to39,f_40to44,g_45to49
10,0,0,-1,"Nepal","Total",6145038,213320,920664,1170480,1120279,1080094,903283,736918
10,0,0,0,"Nepal","No Children/No Birth",736498,122042,254229,151067,71740,45076,41330,51014
10,0,0,1,"Nepal","1 Children",1419503,76584,417521,396715,237650,137362,88847,64824
10,0,0,2,"Nepal","2 Children",2027343,12585,196142,414641,461264,425525,313679,203507
10,0,0,3,"Nepal","3 Children",1100021,1718,43311,151933,220119,265025,232625,185290
10,0,0,4,"Nepal","4 Children",508747,339,8026,43500,88127,126840,125769,116146
10,0,0,5,"Nepal","5 Children",211983,52,1238,9749,28894,51116,58849,62085
10,0,0,6,"Nepal","6 Children",86725,0,185,2389,9025,19016,25545,30565
10,0,0,7,"Nepal","7 Children",33660,0,12,486,2503,6726,10194,13739
10,0,0,8,"Nepal","8 Children",14378,0,0,0,850,2665,4485,6378
10,0,0,9,"Nepal","9 & More Children",6180,0,0,0,107,743,1960,3370
21,0,0,-1,"Urban Munipalities","Total",4134946,125392,578051,788603,778242,748788,620764,495106
21,0,0,0,"Urban Munipalities","No Children/No Birth",500645,72723,167923,111614,53794,32483,28390,33718
21,0,0,1,"Urban Munipalities","1 Children",1008493,43892,262630,285869,186857,109764,70247,49234
21,0,0,2,"Urban Munipalities","2 Children",1439237,7509,115961,268015,330180,319973,241640,155959
21,0,0,3,"Urban Munipalities","3 Children",698745,1045,25776,90329,134322,169318,153187,124768
21,0,0,4,"Urban Munipalities","4 Children",298279,194,4873,25447,50318,73633,73927,69887
21,0,0,5,"Urban Munipalities","5 Children",117029,29,775,5671,15922,28225,32016,34391
21,0,0,6,"Urban Munipalities","6 Children",45587,0,104,1388,4960,10104,13222,15809
21,0,0,7,"Urban Munipalities","7 Children",16978,0,9,270,1365,3525,5043,6766
21,0,0,8,"Urban Munipalities","8 Children",7138,0,0,0,471,1414,2206,3047
