area,prov,dist,chldtype,chldsex,area_name,typename,chldsexname,total,a_15to19,b_20to24,c_25to29,d_30to34,e_35to39,f_40to44,g_45to49
10,0,0,1,0,"Nepal","Children Ever Born","Total",12799969,108524,979226,1922277,2396947,2735867,2490862,2166266
10,0,0,1,1,"Nepal","Children Ever Born","Male",6741990,57001,511794,1009315,1257700,1437207,1315196,1153777
10,0,0,1,2,"Nepal","Children Ever Born","Female",6057979,51523,467432,912962,1139247,1298660,1175666,1012489
10,0,0,2,0,"Nepal","Children Still Alive","Total",12384091,106271,960369,1882194,2336683,2649061,2390676,2058837
10,0,0,2,1,"Nepal","Children Still Alive","Male",6502247,55631,500664,985566,1222586,1386881,1258123,1092796
10,0,0,2,2,"Nepal","Children Still Alive","Female",5881844,50640,459705,896628,1114097,1262180,1132553,966041
10,0,0,3,0,"Nepal","Children Dead","Total",415878,2253,18857,40083,60264,86806,100186,107429
10,0,0,3,1,"Nepal","Children Dead","Male",239743,1370,11130,23749,35114,50326,57073,60981
10,0,0,3,2,"Nepal","Children Dead","Female",176135,883,7727,16334,25150,36480,43113,46448
21,0,0,1,0,"Urban Munipalities","Children Ever Born","Total",8238182,62966,595934,1233247,1574625,1793188,1609745,1368477
21,0,0,1,1,"Urban Munipalities","Children Ever Born","Male",4359773,32956,312170,650607,831189,947712,854162,730977
21,0,0,1,2,"Urban Munipalities","Children Ever Born","Female",3878409,30010,283764,582640,743436,845476,755583,637500
21,0,0,2,0,"Urban Munipalities","Children Still Alive","Total",8003095,61729,585556,1210246,1540390,1743363,1553323,1308488
21,0,0,2,1,"Urban Munipalities","Children Still Alive","Male",4223848,32223,306047,636962,811198,918731,821924,696763
21,0,0,2,2,"Urban Munipalities","Children Still Alive","Female",3779247,29506,279509,573284,729192,824632,731399,611725
21,0,0,3,0,"Urban Munipalities","Children Dead","Total",235087,1237,10378,23001,34235,49825,56422,59989
21,0,0,3,1,"Urban Munipalities","Children Dead","Male",135925,733,6123,13645,19991,28981,32238,34214
21,0,0,3,2,"Urban Munipalities","Children Dead","Female",99162,504,4255,9356,14244,20844,24184,25775
22,0,0,1,0,"Rural Municipalities","Children Ever Born","Total",4561787,45558,383292,689030,822322,942679,881117,797789
22,0,0,1,1,"Rural Municipalities","Children Ever Born","Male",2382217,24045,199624,358708,426511,489495,461034,422800
22,0,0,1,2,"Rural Municipalities","Children Ever Born","Female",2179570,21513,183668,330322,395811,453184,420083,374989
22,0,0,2,0,"Rural Municipalities","Children Still Alive","Total",4380996,44542,374813,671948,796293,905698,837353,750349
22,0,0,2,1,"Rural Municipalities","Children Still Alive","Male",2278399,23408,194617,348604,411388,468150,436199,396033
22,0,0,2,2,"Rural Municipalities","Children Still Alive","Female",2102597,21134,180196,323344,384905,437548,401154,354316
22,0,0,3,0,"Rural Municipalities","Children Dead","Total",180791,1016,8479,17082,26029,36981,43764,47440
