area,prov,dist,sex,area_name,sexname,rowtotal,a_06plus,b_03to05,c_01to02,d_nowork
10,0,0,0,"Nepal","Total",23958868,9820732,2732024,2430237,8975875
10,0,0,1,"Nepal","Male",11519621,5837570,1084124,954867,3643060
10,0,0,2,"Nepal","Female",12439247,3983162,1647900,1475370,5332815
21,0,0,0,"Urban Munipalities","Total",15975610,6376248,1634888,1536876,6427598
21,0,0,1,"Urban Munipalities","Male",7695786,3905973,627322,585096,2577395
21,0,0,2,"Urban Munipalities","Female",8279824,2470275,1007566,951780,3850203
22,0,0,0,"Rural Municipalities","Total",7983258,3444484,1097136,893361,2548277
22,0,0,1,"Rural Municipalities","Male",3823835,1931597,456802,369771,1065665
22,0,0,2,"Rural Municipalities","Female",4159423,1512887,640334,523590,1482612
31,0,0,0,"Mountain","Total",1440543,665656,207045,165879,401963
31,0,0,1,"Mountain","Male",703149,351793,92024,74723,184609
31,0,0,2,"Mountain","Female",737394,313863,115021,91156,217354
32,0,0,0,"Hill","Total",9875921,4366329,1114179,998936,3396477
32,0,0,1,"Hill","Male",4729532,2431378,447089,407685,1443380
32,0,0,2,"Hill","Female",5146389,1934951,667090,591251,1953097
33,0,0,0,"Tarai","Total",12642404,4788747,1410800,1265422,5177435
33,0,0,1,"Tarai","Male",6086940,3054399,545011,472459,2015071
33,0,0,2,"Tarai","Female",6555464,1734348,865789,792963,3162364
40,1,0,0,"Province-1","Total",4127094,1957453,469923,406680,1293038
40,1,0,1,"Province-1","Male",1987135,1129931,184794,160444,511966
40,1,0,2,"Province-1","Female",2139959,827522,285129,246236,781072
40,2,0,0,"Madhesh","Total",4770013,1588795,508823,452675,2219720
40,2,0,1,"Madhesh","Male",2355108,1131725,203565,167592,852226
40,2,0,2,"Madhesh","Female",2414905,457070,305258,285083,1367494
40,3,0,0,"Bagmati","Total",5260691,2360521,450600,435548,2014022
40,3,0,1,"Bagmati","Male",2595088,1409287,176961,170994,837846
40,3,0,2,"Bagmati","Female",2665603,951234,273639,264554,1176176
40,4,0,0,"Gandaki","Total",2095474,877477,234546,208157,775294
40,4,0,1,"Gandaki","Male",973399,468976,92392,82167,329864
40,4,0,2,"Gandaki","Female",1122075,408501,142154,125990,445430
