area,prov,dist,sex,area_name,sexname,rowtotal,a_agri,b_mining,c_manuf,d_electri,e_water,f_const,g_wholesale,h_transp,i_accommod,j_informat,k_finance,l_realestat,m_profesnl,n_admin,o_pub_admin,p_educatn,q_humnhealth,r_arts,s_otherservic,t_hhld_activ,u_extra_teri,v_notstd
10,0,0,0,"Nepal","Total",14982993,8586188,27626,571078,44534,32269,1215399,1876389,334858,251293,52178,163803,22619,76456,51605,291590,429464,171367,56623,579302,124718,13536,10098
10,0,0,1,"Nepal","Male",7876561,3983613,18465,399731,38536,23978,830744,955963,320643,150411,39063,90163,20135,59305,37161,249738,232691,80777,44347,244942,42756,7734,5665
10,0,0,2,"Nepal","Female",7106432,4602575,9161,171347,5998,8291,384655,920426,14215,100882,13115,73640,2484,17151,14444,41852,196773,90590,12276,334360,81962,5802,4433
21,0,0,0,"Urban Munipalities","Total",9548012,4624801,20500,445967,33768,26035,870198,1438285,268339,206541,47379,143535,21146,66785,46296,235989,308011,140723,51185,448585,86105,11653,6186
21,0,0,1,"Urban Munipalities","Male",5118391,2128009,13634,308145,28932,19450,581616,740649,256367,124729,35387,77929,18866,51332,32825,201650,161503,66049,39603,191860,29438,6788,3630
21,0,0,2,"Urban Munipalities","Female",4429621,2496792,6866,137822,4836,6585,288582,697636,11972,81812,11992,65606,2280,15453,13471,34339,146508,74674,11582,256725,56667,4865,2556
22,0,0,0,"Rural Municipalities","Total",5434981,3961387,7126,125111,10766,6234,345201,438104,66519,44752,4799,20268,1473,9671,5309,55601,121453,30644,5438,130717,38613,1883,3912
22,0,0,1,"Rural Municipalities","Male",2758170,1855604,4831,91586,9604,4528,249128,215314,64276,25682,3676,12234,1269,7973,4336,48088,71188,14728,4744,53082,13318,946,2035
22,0,0,2,"Rural Municipalities","Female",2676811,2105783,2295,33525,1162,1706,96073,222790,2243,19070,1123,8034,204,1698,973,7513,50265,15916,694,77635,25295,937,1877
31,0,0,0,"Mountain","Total",1038580,792046,1390,13895,2514,1177,41989,71647,9088,12492,1278,4381,229,2008,2443,21804,28560,7669,755,18235,3901,543,536
31,0,0,1,"Mountain","Male",518540,363306,1078,9653,2234,876,30784,36553,8683,6301,942,2721,185,1615,2157,19157,17782,3398,606,8499,1423,290,297
31,0,0,2,"Mountain","Female",520040,428740,312,4242,280,301,11205,35094,405,6191,336,1660,44,393,286,2647,10778,4271,149,9736,2478,253,239
32,0,0,0,"Hill","Total",6479444,3752762,12962,215937,21547,16049,398942,743409,141719,137783,35093,94561,14028,45380,37341,154535,215941,87499,37421,252317,49379,9203,5636
32,0,0,1,"Hill","Male",3286152,1656389,8762,138779,18110,11548,268750,373005,134663,81262,25802,48626,12467,33489,25795,130400,109083,36568,27580,119411,17418,5313,2932
32,0,0,2,"Hill","Female",3193292,2096373,4200,77158,3437,4501,130192,370404,7056,56521,9291,45935,1561,11891,11546,24135,106858,50931,9841,132906,31961,3890,2704
