area,prov,dist,sex,area_name,sexname,rowtotal,a_student,b_hhldwork,c_hhldchore,d_aged,e_disable,f_pension,g_soclwork,h_other,i_notstd
10,0,0,0,"Nepal","Both Sexes",14138136,4889549,3260226,1076449,1138617,272036,212410,37912,3186843,64094
10,0,0,1,"Nepal","Male",5682051,2503708,616720,347514,460798,137072,144531,27122,1413604,30982
10,0,0,2,"Nepal","Female",8456085,2385841,2643506,728935,677819,134964,67879,10790,1773239,33112
21,0,0,0,"Urban Munipalities","Both Sexes",9599362,3275195,2177887,720064,735623,176596,163843,27361,2281715,41078
21,0,0,1,"Urban Munipalities","Male",3789813,1686712,358397,213441,291249,88359,116305,19691,996051,19608
21,0,0,2,"Urban Munipalities","Female",5809549,1588483,1819490,506623,444374,88237,47538,7670,1285664,21470
22,0,0,0,"Rural Municipalities","Both Sexes",4538774,1614354,1082339,356385,402994,95440,48567,10551,905128,23016
22,0,0,1,"Rural Municipalities","Male",1892238,816996,258323,134073,169549,48713,28226,7431,417553,11374
22,0,0,2,"Rural Municipalities","Female",2646536,797358,824016,222312,233445,46727,20341,3120,487575,11642
31,0,0,0,"Mountain","Both Sexes",774887,324427,163952,51162,73011,16688,6157,2279,133217,3994
31,0,0,1,"Mountain","Male",351356,161674,52697,23196,30666,8338,3903,1651,67288,1943
31,0,0,2,"Mountain","Female",423531,162753,111255,27966,42345,8350,2254,628,65929,2051
32,0,0,0,"Hill","Both Sexes",5509592,2030253,1143849,378881,487941,122888,105701,19009,1191199,29871
32,0,0,1,"Hill","Male",2298154,1027179,219128,132392,193848,61403,77536,13474,558814,14380
32,0,0,2,"Hill","Female",3211438,1003074,924721,246489,294093,61485,28165,5535,632385,15491
33,0,0,0,"Tarai","Both Sexes",7853657,2534869,1952425,646406,577665,132460,100552,16624,1862427,30229
33,0,0,1,"Tarai","Male",3032541,1314855,344895,191926,236284,67331,63092,11997,787502,14659
33,0,0,2,"Tarai","Female",4821116,1220014,1607530,454480,341381,65129,37460,4627,1074925,15570
40,1,0,0,"Province-1","Both Sexes",2169641,757192,480752,165237,196901,61321,27607,5627,469292,5712
