area,prov,dist,sex,area_name,sexname,rowtotal,a_MothrFathr,b_MothrOnly,c_FathrOnly,d_FathrStepMothr,e_MothrStepFathr,f_OthrRelativ,g_Employr,h_Othr,i_notstd
10,0,0,0,"Nepal","Total",9869583,7686281,1688886,101604,34521,6015,291803,2620,49507,8346
10,0,0,1,"Nepal","Male",5114505,3991757,874942,54941,18232,2720,137565,1628,28934,3786
10,0,0,2,"Nepal","Female",4755078,3694524,813944,46663,16289,3295,154238,992,20573,4560
21,0,0,0,"Urban Munipalities","Total",6309805,4852990,1114105,64398,20881,3696,206403,2246,39178,5908
21,0,0,1,"Urban Munipalities","Male",3299158,2540912,581299,35187,11064,1719,101109,1390,23646,2832
21,0,0,2,"Urban Munipalities","Female",3010647,2312078,532806,29211,9817,1977,105294,856,15532,3076
22,0,0,0,"Rural Municipalities","Total",3559778,2833291,574781,37206,13640,2319,85400,374,10329,2438
22,0,0,1,"Rural Municipalities","Male",1815347,1450845,293643,19754,7168,1001,36456,238,5288,954
22,0,0,2,"Rural Municipalities","Female",1744431,1382446,281138,17452,6472,1318,48944,136,5041,1484
31,0,0,0,"Mountain","Total",644896,535050,71589,8925,2705,398,20171,100,5463,495
31,0,0,1,"Mountain","Male",326582,271993,36030,4661,1421,176,9045,62,2955,239
31,0,0,2,"Mountain","Female",318314,263057,35559,4264,1284,222,11126,38,2508,256
32,0,0,0,"Hill","Total",3686209,2774496,668539,46927,15595,2998,142371,1819,28840,4624
32,0,0,1,"Hill","Male",1908093,1439992,344322,25661,8245,1330,68286,1108,16970,2179
32,0,0,2,"Hill","Female",1778116,1334504,324217,21266,7350,1668,74085,711,11870,2445
33,0,0,0,"Tarai","Total",5538478,4376735,948758,45752,16221,2619,129261,701,15204,3227
33,0,0,1,"Tarai","Male",2879830,2279772,494590,24619,8566,1214,60234,458,9009,1368
33,0,0,2,"Tarai","Female",2658648,2096963,454168,21133,7655,1405,69027,243,6195,1859
40,1,0,0,"Province-1","Total",1574039,1215668,261438,24950,7528,1484,57192,306,4632,841
40,1,0,1,"Province-1","Male",805440,623890,133927,13176,4031,719,26423,191,2732,351
40,1,0,2,"Province-1","Female",768599,591778,127511,11774,3497,765,30769,115,1900,490
40,2,0,0,"Madhesh","Total",2401861,1987089,370611,11095,4487,349,23004,58,4464,704
40,2,0,1,"Madhesh","Male",1254619,1039292,193676,5887,2365,170,9658,43,3265,263
40,2,0,2,"Madhesh","Female",1147242,947797,176935,5208,2122,179,13346,15,1199,441
40,3,0,0,"Bagmati","Total",1686885,1355827,207446,25076,6045,1108,67450,1474,21432,1027
40,3,0,1,"Bagmati","Male",885416,711772,107440,13991,3175,505,34260,873,12865,535
40,3,0,2,"Bagmati","Female",801469,644055,100006,11085,2870,603,33190,601,8567,492
40,4,0,0,"Gandaki","Total",727839,491263,182653,9180,3872,793,29671,348,7248,2811
