area,prov,dist,area_name,tot_male,tot_feml,Registr_m,Registr_f,noRegistr_m,noRegistr_f
10,0,0,Nepal,1589674,1417974,1178017,1048698,411657,369276
21,0,0,Urban Munipalities,1016556,893179,745080,653580,271476,239599
22,0,0,Rural Municipalities,573118,524795,432937,395118,140181,129677
31,0,0,Mountain,98725,91210,81098,74423,17627,16787
32,0,0,Hill,566327,508273,415129,370856,151198,137417
33,0,0,Tarai,924622,818491,681790,603419,242832,215072
40,1,0,Province-1,244967,227658,174611,160241,70356,67417
40,2,0,Madhesh,427618,372279,325604,286984,102014,85295
40,3,0,Bagmati,259425,229367,174754,152782,84671,76585
40,4,0,Gandaki,111006,97164,75013,65106,35993,32058
40,5,0,Lumbini,283826,257233,204843,184585,78983,72648
40,6,0,Karnali,107165,97473,93160,85454,14005,12019
40,7,0,Sudur Paschim,155667,136800,130032,113546,25635,23254
50,1,1,Taplejung,6395,6095,4248,3924,2147,2171
50,1,2,Sankhuwasabha,7766,7264,5491,5022,2275,2242
50,1,3,Solukhumbu,5193,4900,3297,2990,1896,1910
50,1,4,Okhaldhunga,6218,5887,4851,4599,1367,1288
50,1,5,Khotang,9110,8600,6541,6164,2569,2436
50,1,6,Bhojpur,7693,7379,5579,5292,2114,2087
50,1,7,Dhankuta,6831,6447,5167,4840,1664,1607
50,1,8,Terhathum,4384,4011,3050,2710,1334,1301
50,1,9,Panchthar,8754,8426,5936,5677,2818,2749
50,1,10,Ilam,11349,10820,8612,7995,2737,2825
50,1,11,Jhapa,47055,43240,34876,31572,12179,11668
50,1,12,Morang,56418,52210,38255,34910,18163,17300
50,1,13,Sunsari,50226,46021,35307,32034,14919,13987
50,1,14,Udayapur,17575,16358,13401,12512,4174,3846
50,2,15,Saptari,44907,38317,34035,29179,10872,9138
50,2,16,Siraha,54622,44713,44037,36260,10585,8453
50,2,17,Dhanusa,66348,52553,47707,37871,18641,14682
50,2,18,Mahottari,50149,44081,39649,34925,10500,9156
50,2,19,Sarlahi,57334,51360,45079,40692,12255,10668
50,2,20,Rautahat,62257,58949,51112,48792,11145,10157
50,2,21,Bara,50978,45770,38028,34803,12950,10967
50,2,22,Parsa,41023,36536,25957,24462,15066,12074
50,3,23,Dolakha,7629,6982,6281,5732,1348,1250
50,3,24,Sindhupalchok,12177,11039,9084,8176,3093,2863
50,3,25,Rasuwa,2477,2376,2172,2086,305,290
50,3,26,Dhading,15432,14067,10062,9025,5370,5042
50,3,27,Nuwakot,12123,11073,7622,6688,4501,4385
50,3,28,Kathmandu,76695,65634,49272,41754,27423,23880
50,3,29,Bhaktapur,18395,15603,11915,9906,6480,5697
50,3,30,Lalitpur,20018,17452,12565,10841,7453,6611
50,3,31,Kavrepalanchok,15984,14156,10961,9522,5023,4634
50,3,32,Ramechhap,6970,6576,4956,4585,2014,1991
50,3,33,Sindhuli,15176,14327,10908,10119,4268,4208
50,3,34,Makwanpur,23169,21453,17087,15658,6082,5795
50,3,35,Chitawan,33180,28629,21869,18690,11311,9939
50,4,36,Gorkha,10800,9810,7528,6813,3272,2997
50,4,37,Manang,169,168,113,129,56,39
50,4,38,Mustang,496,482,348,325,148,157
50,4,39,Myagdi,5170,4660,3398,3055,1772,1605
50,4,40,Kaski,24870,21128,15771,13246,9099,7882
50,4,41,Lamjung,6200,5382,4184,3470,2016,1912
50,4,42,Tanahu,14285,12646,9657,8413,4628,4233
50,4,43,Nawalparasi (Bardaghat Susta East),18665,16250,13642,11823,5023,4427
50,4,44,Syangja,10917,9609,7526,6536,3391,3073
50,4,45,Parbat,6154,5311,4169,3537,1985,1774
50,4,46,Baglung,13280,11718,8677,7759,4603,3959
50,5,47,Rukum (East),3497,3297,2895,2731,602,566
50,5,48,Rolpa,14929,13930,12463,11597,2466,2333
50,5,49,Pyuthan,13750,12686,9637,8738,4113,3948
50,5,50,Gulmi,12834,11560,9305,8312,3529,3248
50,5,51,Arghakhanchi,9631,8223,6760,5812,2871,2411
50,5,52,Palpa,11480,10343,8806,7997,2674,2346
50,5,53,Nawalparasi (Bardaghat Susta West),20235,18206,14915,13300,5320,4906
50,5,54,Rupandehi,59932,53330,38489,33870,21443,19460
50,5,55,Kapilbastu,43570,41375,33576,31828,9994,9547
50,5,56,Dang,34349,30870,24898,22185,9451,8685
50,5,57,Banke,35871,31845,25127,21862,10744,9983
50,5,58,Bardiya,23748,21568,17972,16353,5776,5215
50,6,59,Dolpa,2291,2250,2067,2049,224,201
50,6,60,Mugu,4356,4191,3982,3820,374,371
50,6,61,Humla,3864,3607,3396,3203,468,404
50,6,62,Jumla,6967,6156,6154,5462,813,694
50,6,63,Kalikot,10512,9528,9901,9009,611,519
50,6,64,Dailekh,16831,15582,15081,13980,1750,1602
50,6,65,Jajarkot,13342,12791,11917,11538,1425,1253
50,6,66,Rukum (West),10667,9349,9624,8440,1043,909
50,6,67,Salyan,14612,13212,12985,11785,1627,1427
50,6,68,Surkhet,23723,20807,18053,16168,5670,4639
50,7,69,Bajura,9225,8714,8469,7918,756,796
50,7,70,Bajhang,12068,10994,10716,9731,1352,1263
50,7,71,Darchula,7140,6464,5379,4847,1761,1617
50,7,72,Baitadi,14923,13170,13352,11751,1571,1419
50,7,73,Dadeldhura,8380,7274,6824,5868,1556,1406
50,7,74,Doti,14367,12730,13089,11480,1278,1250
50,7,75,Achham,15809,14786,14943,13943,866,843
50,7,76,Kailali,46283,39800,35544,30138,10739,9662
50,7,77,Kanchanpur,27472,22868,21716,17870,5756,4998
